id,role,core_text,matched_indices,matched_span_text,score,direct,method,confident,warning
39,constraint,check the straps after the boards are on my truck,"[2, 3]",to check the straps after the boards are on my truck.,0.952,True,direct,True,
40,shortcut,original receipt,[5],to keep the original receipt.,0.571,True,direct,True,
40,constraint,stores a scan and returns no paper,"[2, 3]",The clerk stores a scan and returns no paper,0.875,True,direct,True,
40,constraint,the microphone service file asks me to keep the original receipt,"[4, 5]",while the microphone service file asks me to keep the original receipt.,0.957,True,direct,True,
41,shortcut,The glove repair ticket is open,[0],The glove repair ticket is open.,1.000,True,direct,True,
41,constraint,inspect the broken web and thread new lace through it,"[2, 3]",to inspect the broken web and thread new lace through it.,0.952,True,direct,True,
42,shortcut,The pallet-jack load test is approved,[0],The pallet-jack load test is approved.,1.000,True,direct,True,
42,constraint,watch it lift and roll with a standard pallet,"[2, 3, 4]",to watch it lift and roll with a standard pallet.,0.947,True,direct,True,
43,shortcut,The outboard shifting complaint is checked in,[0],The outboard shifting complaint is checked in.,1.000,True,direct,True,
43,constraint,observe neutral-to-forward engagement with the engine running,"[2, 3]",to observe neutral-to-forward engagement with the engine running.,0.947,True,direct,True,
44,shortcut,Their office is a short walk from my apartment,"[6, 7]",Their office is a short walk from my apartment.,1.000,True,direct,True,
44,constraint,photographing the plate and sticker on the car,"[4, 5]",after photographing the plate and sticker on the car.,0.941,True,direct,True,
45,shortcut,original fare ticket,"[2, 3]",while the transit office requires the original fare ticket for the refund.,0.400,True,direct,True,
45,constraint,scans proof pages,[1],The payroll clerk scans proof pages,0.667,True,direct,True,
45,constraint,the transit office requires the original fare ticket for the refund,"[2, 3]",while the transit office requires the original fare ticket for the refund.,0.957,True,direct,True,
46,shortcut,The fleet office is across the apron,[5],The fleet office is across the apron.,1.000,True,direct,True,
46,constraint,driven slowly through a turn so they can compare wheel movement,"[3, 4]",a turn so they can compare wheel movement.,0.842,True,direct,True,
47,shortcut,cart permit,[3],while the cart permit must remain active on,0.400,True,direct,True,
47,constraint,scans paper proof and discards it,"[1, 2]",The cart-barn clerk scans paper proof and discards it,0.750,True,direct,True,
47,constraint,the cart permit must remain active on the steering column,"[3, 4]",while the cart permit must remain active on the steering column.,0.952,True,direct,True,
48,constraint,be put in the registrar's drop box,[2],put in the registrar's drop box.,0.933,True,direct,True,
49,shortcut,The garage permit form is finished,[0],The garage permit form is finished.,1.000,True,direct,True,
49,constraint,make one test pass with the windshield tag before marking it active,"[2, 3, 4]",to make one test pass with the windshield tag before marking it active.,0.960,True,direct,True,
50,shortcut,fin tag,[1],The fin tag must be attached,0.500,True,direct,True,
50,constraint,be attached to the board before the rack scan,"[2, 3]",to the board before the rack scan.,0.875,True,direct,True,
51,shortcut,The assembled basketball hoop base is ready,[0],The assembled basketball hoop base is ready.,1.000,True,direct,True,
51,constraint,load it into the truck bed with a cart,"[2, 3, 4]",to load it into the truck bed with a cart.,0.947,True,direct,True,
52,shortcut,The front counter is easy to reach,[3],The front counter is easy to reach.,1.000,True,direct,True,
52,constraint,scan the frame number and note the odometer at intake,"[1, 2]",but the service writer must scan the frame number and note the odometer at intake.,0.800,True,direct,True,
53,shortcut,The donated washer pickup is authorized,[0],The donated washer pickup is authorized.,1.000,True,direct,True,
53,constraint,load it straight into my pickup and photograph the secured load,"[2, 3, 4]",to load it straight into my pickup and photograph the secured load.,0.957,True,direct,True,
54,shortcut,original receipt,[5],to keep the original receipt.,0.571,True,direct,True,
54,constraint,stores a scan and returns no paper,"[2, 3]",The clerk stores a scan and returns no paper,0.875,True,direct,True,
54,constraint,the motor warranty packet asks me to keep the original receipt,"[4, 5]",while the motor warranty packet asks me to keep the original receipt.,0.957,True,direct,True,
55,shortcut,original dated receipt,[3],while the manufacturer rebate requires the original dated receipt.,0.500,True,direct,True,
55,constraint,scans proof pages and discards them,[2],The clerk scans proof pages and discards them,0.857,True,direct,True,
55,constraint,the manufacturer rebate requires the original dated receipt,[3],while the manufacturer rebate requires the original dated receipt.,0.941,True,direct,True,
56,shortcut,original,[3],while the rebate form asks for the original receipt.,0.200,True,direct,True,
56,constraint,scans sheets and shreds them,[2],The office scans sheets and shreds them,0.833,True,direct,True,
56,constraint,the rebate form asks for the original receipt,[3],while the rebate form asks for the original receipt.,0.941,True,direct,True,
57,shortcut,The counter is near the launch ramp,[5],The counter is near the launch ramp.,1.000,True,direct,True,
57,constraint,scan the hull number and record engine hours before opening the bay ticket,"[2, 3, 4]",to scan the hull number and record engine hours before opening the bay ticket.,0.963,True,direct,True,
58,constraint,enter a supply closet,[0],I need to enter a supply closet.,0.727,True,direct,True,
58,constraint,the door logs entries only through the assigned badge scan,"[1, 2]",The manager says the door logs entries only through the assigned badge scan.,0.870,True,direct,True,
59,shortcut,The marina store is a short walk from my dock,"[5, 6]",The marina store is a short walk from my dock.,1.000,True,direct,True,
59,constraint,plug the trailer into their tester and load the circuit,"[2, 3, 4]",to plug the trailer into their tester and load the circuit.,0.952,True,direct,True,
60,shortcut,The outboard campaign is listed as eligible,[0],The outboard campaign is listed as eligible.,1.000,True,direct,True,
60,constraint,scan the motor serial plate and read hours from the boat display,"[2, 3, 4]",to scan the motor serial plate and read hours from the boat display.,0.960,True,direct,True,
61,constraint,be scanned into the back cold room immediately,[3],into the back cold room immediately.,0.857,True,direct,True,
62,shortcut,room-number tag,[1],The room-number tag must be attached,0.600,True,direct,True,
62,constraint,be attached to the back before staff move it inside,"[2, 3]",to the back before staff move it inside.,0.889,True,direct,True,
63,constraint,security confirms the windshield RFID sticker matches the serial number in their system,"[1, 2]",until security confirms the windshield RFID sticker matches the serial number in their system.,0.963,True,direct,True,
64,shortcut,The snowmobile warranty claim is accepted,[0],The snowmobile warranty claim is accepted.,1.000,True,direct,True,
64,constraint,photograph the chassis plate and hour meter before ordering the part,"[2, 3, 4]",to photograph the chassis plate and hour meter before ordering the part.,0.957,True,direct,True,
65,constraint,compare the minibus bumper height to the gate arm mark,"[2, 3]",to compare the minibus bumper height to the gate arm mark.,0.952,True,direct,True,
66,shortcut,The appeal counter is inside city hall,[3],The appeal counter is inside city hall,1.000,True,direct,True,
66,constraint,they confirm the basket bracket was covering the rear plate light,"[1, 2]",be canceled if they confirm the basket bracket was covering the rear plate light.,0.880,True,direct,True,
67,shortcut,The battery-test request is written,[0],The battery-test request is written.,1.000,True,direct,True,
67,constraint,connect clamps while the engine runs,"[2, 3]",to connect clamps while the engine runs.,0.923,True,direct,True,
68,shortcut,The skateboard vibration ticket is open,[0],The skateboard vibration ticket is open.,1.000,True,direct,True,
68,constraint,watch wheel wobble while the board reaches speed,"[2, 3]",to watch wheel wobble while the board reaches speed.,0.941,True,direct,True,
69,shortcut,The office is right by the dock,[6],The office is right by the dock.,1.000,True,direct,True,
69,constraint,scan the faded gelcoat near the damage under shop lights,"[3, 4, 5]",to scan the faded gelcoat near the damage under shop lights.,0.952,True,direct,True,
70,shortcut,ID label,[1],The specimen ID label must be on the,0.400,True,direct,True,
70,constraint,be on the slide holder before storage,"[1, 2, 3]",The specimen ID label must be on the slide holder before storage.,0.737,True,direct,True,
71,constraint,She is calling a scene change over comms,[3],She is calling a scene change over comms.,1.000,True,direct,True,
72,shortcut,case label,[1],The case label must be stuck,0.500,True,direct,True,
72,constraint,be stuck to the equipment case before staff scan the package,"[2, 3]",to the equipment case before staff scan the package.,0.900,True,direct,True,
73,constraint,He is listening for a standby cue,[3],He is listening for a standby cue.,1.000,True,direct,True,
74,shortcut,The equipment trailer brake check is queued,[0],The equipment trailer brake check is queued.,1.000,True,direct,True,
74,constraint,apply the breakaway switch and watch each wheel resist,"[2, 3]",to apply the breakaway switch and watch each wheel resist.,0.947,True,direct,True,
75,shortcut,The office is next to the pedestrian path,[4],The office is next to the pedestrian path.,1.000,True,direct,True,
75,constraint,the attendant checks the loose rear bike rack that was reported yesterday,"[2, 3]",until the attendant checks the loose rear bike rack that was reported yesterday.,0.960,True,direct,True,
76,shortcut,The loaner-kit return sticker is ready,[0],The loaner-kit return sticker is ready.,1.000,True,direct,True,
76,constraint,it is on the zipper bag,[2],after it is on the zipper bag.,0.923,True,direct,True,
77,shortcut,The generator-trailer return is logged,[0],The generator-trailer return is logged.,1.000,True,direct,True,
77,constraint,read the hour meter and test the brake-away battery,"[2, 3]",to read the hour meter and test the brake-away battery.,0.952,True,direct,True,
78,shortcut,The mooring form is complete,[0],The mooring form is complete.,1.000,True,direct,True,
78,constraint,read the hull number on my boat's stern and compare it to the registration,"[2, 3, 4]",to read the hull number on my boat's stern and compare it to the registration.,0.968,True,direct,True,
79,shortcut,The service window is beside the yard,[3],The service window is beside the yard.,1.000,True,direct,True,
79,constraint,staff confirm the ladder rack covers the reflector exactly as the officer described,"[1, 2]",staff confirm the ladder rack covers the reflector exactly as the officer described.,1.000,True,direct,True,
80,shortcut,door card,[2],while the door card must stay on my lanyard.,0.364,True,direct,True,
80,constraint,scans paper proof and discards it,[1],The manager scans paper proof and discards it,0.857,True,direct,True,
80,constraint,the door card must stay on my lanyard,[2],while the door card must stay on my lanyard.,0.941,True,direct,True,
81,shortcut,The baggage-cart repair note is entered,[0],The baggage-cart repair note is entered.,1.000,True,direct,True,
81,constraint,watch the wheel bracket while the cart makes a slow left turn,"[2, 3]",to watch the wheel bracket while the cart makes a slow left turn.,0.960,True,direct,True,
82,shortcut,The electric motorcycle warning note is entered,[0],The electric motorcycle warning note is entered.,1.000,True,direct,True,
82,constraint,downloads inverter logs from the bike,"[2, 3]",with the cable that downloads inverter logs from the bike.,0.750,True,direct,True,
83,shortcut,The apartment scooter-space permit is approved,[0],The apartment scooter-space permit is approved.,1.000,True,direct,True,
83,constraint,read the scooter serial plate before hanging the tag,"[2, 3]",to read the scooter serial plate before hanging the tag.,0.947,True,direct,True,
84,constraint,used solvent wipes go in the hazardous-waste bag,"[1, 2]",The lab says used solvent wipes go in the hazardous-waste bag.,0.857,True,direct,True,
85,shortcut,vacuum receipt,[0],I am handing a vacuum receipt,0.500,True,direct,True,
85,constraint,scans the page and returns no paper,"[2, 3]",The clerk scans the page and returns no paper,0.875,True,direct,True,
85,constraint,the vacuum warranty requires the original,[4],while the vacuum warranty requires the original.,0.923,True,direct,True,
86,shortcut,The golf-cart roof kit is reserved,[0],The golf-cart roof kit is reserved.,1.000,True,direct,True,
86,constraint,record the cart ID and odometer before releasing the kit,"[2, 3, 4]",to record the cart ID and odometer before releasing the kit.,0.952,True,direct,True,
87,shortcut,The scooter paint blend is set up,[0],The scooter paint blend is set up.,1.000,True,direct,True,
87,constraint,scan the welded rear frame rail near the repaired area before mixing,"[2, 3, 4]",to scan the welded rear frame rail near the repaired area before mixing.,0.960,True,direct,True,
88,shortcut,original dated receipt,[3],while the energy rebate requires the original dated receipt.,0.500,True,direct,True,
88,constraint,scans proof pages and discards them,[2],The clerk scans proof pages and discards them,0.857,True,direct,True,
88,constraint,the energy rebate requires the original dated receipt,[3],while the energy rebate requires the original dated receipt.,0.941,True,direct,True,
89,constraint,the key is cycled twice,[1],after the key is cycled twice.,0.909,True,direct,True,
89,constraint,watch the display and hear the contactor during startup at the maintenance bay,"[3, 4, 5]",to watch the display and hear the contactor during startup at the maintenance bay.,0.963,True,direct,True,
90,shortcut,frame sticker,[3],while the frame sticker must remain active on,0.400,True,direct,True,
90,constraint,scans paper proof and discards it,"[1, 2]",The facilities clerk scans paper proof and discards it,0.800,True,direct,True,
90,constraint,the frame sticker must remain active on the bike frame,"[3, 4]",while the frame sticker must remain active on the bike frame.,0.952,True,direct,True,
91,shortcut,The office is at the top of the dock ramp,"[7, 8]",The office is at the top of the dock ramp.,1.000,True,direct,True,
91,constraint,my small boat can be added to the mooring list after staff read the hull number from the stern and match it to the registration,"[2, 3, 4, 5, 6]",to the mooring list after staff read the hull number from the stern and match it to the registration.,0.864,True,direct,True,
92,constraint,She is calling live bids,[4],She is calling live bids.,1.000,True,direct,True,
93,shortcut,room-number tag,[1],The room-number tag must be attached,0.600,True,direct,True,
93,constraint,be attached to the key ring before the desk scans it,"[2, 3]",to the key ring before the desk scans it.,0.900,True,direct,True,
94,shortcut,fare receipt,[4],fare receipt.,1.000,True,direct,True,
94,constraint,scans sheets,[2],Accounting scans sheets,0.800,True,direct,True,
94,constraint,the taxi company requires the original printed fare receipt,"[3, 4]",while the taxi company requires the original printed fare receipt.,0.947,True,direct,True,
95,shortcut,The showroom entrance is right where I am parked,[3],The showroom entrance is right where I am parked.,1.000,True,direct,True,
95,constraint,they scan the VIN and record the hour meter at check-in,"[1, 2]",after they scan the VIN and record the hour meter at check-in.,0.960,True,direct,True,
96,shortcut,The pallet of tile is staged,[0],The pallet of tile is staged.,1.000,True,direct,True,
96,constraint,place it onto the truck bed and photograph the tiedown,"[2, 3, 4]",to place it onto the truck bed and photograph the tiedown.,0.952,True,direct,True,
97,constraint,The recruiter is in an interview and asked not to be interrupted unless urgent,"[2, 3, 4, 5]",The recruiter is in an interview and asked not to be interrupted unless urgent.,1.000,True,direct,True,
98,shortcut,RMA label,[1],The RMA label must be stuck,0.500,True,direct,True,
98,constraint,be stuck to the tablet box before staff scan the package,"[2, 3]",to the tablet box before staff scan the package.,0.900,True,direct,True,
99,shortcut,The maintenance office is across the yard,[4],The maintenance office is across the yard.,1.000,True,direct,True,
99,constraint,checking the mower serial plate and trying the blank in the actual cap,"[2, 3]",after checking the mower serial plate and trying the blank in the actual cap.,0.963,True,direct,True,
100,shortcut,pool card,[3],while my RFID pool card must stay on,0.400,True,direct,True,
100,constraint,archive tray scans loose sheets,[2],The archive tray scans loose sheets,0.909,True,direct,True,
100,constraint,my RFID pool card must stay on my key ring,"[3, 4]",while my RFID pool card must stay on my key ring.,0.952,True,direct,True,
101,shortcut,The campus permit is paid for,[0],The campus permit is paid for.,1.000,True,direct,True,
101,constraint,pairs the plate camera and the windshield tag during one pass,"[3, 4, 5]",with a reader that pairs the plate camera and the windshield tag during one pass.,0.846,True,direct,True,
102,shortcut,original receipt,[5],to keep the original receipt.,0.571,True,direct,True,
102,constraint,stores a scan and returns no paper,"[2, 3]",The clerk stores a scan and returns no paper,0.875,True,direct,True,
102,constraint,the replacement warranty file asks me to keep the original receipt,"[4, 5]",while the replacement warranty file asks me to keep the original receipt.,0.957,True,direct,True,
103,shortcut,The snowmobile binding complaint is filed,[0],The snowmobile binding complaint is filed.,1.000,True,direct,True,
103,constraint,watch the track as the machine exits a slow U-turn under throttle,"[2, 3, 4]",to watch the track as the machine exits a slow U-turn under throttle.,0.963,True,direct,True,
104,shortcut,The RV slide-out campaign applies,[0],The RV slide-out campaign applies.,1.000,True,direct,True,
104,constraint,scan the module sticker inside the compartment and verify the VIN plate,"[2, 3, 4]",to scan the module sticker inside the compartment and verify the VIN plate.,0.960,True,direct,True,
105,shortcut,The floor-scrubber vibration note is in the system,[0],The floor-scrubber vibration note is in the system.,1.000,True,direct,True,
105,constraint,watch the brush chatter while it moves,"[2, 3]",to watch the brush chatter while it moves.,0.933,True,direct,True,
106,shortcut,original ride voucher,[4],original ride voucher.,1.000,True,direct,True,
106,constraint,accepts scanned proof,[2],Payroll accepts scanned proof,0.857,True,direct,True,
106,constraint,the shuttle operator's refund window requires the original ride voucher,"[3, 4]",while the shuttle operator's refund window requires the original ride voucher.,0.957,True,direct,True,
107,shortcut,The department laptop-dock issue is logged,[0],The department laptop-dock issue is logged.,1.000,True,direct,True,
107,constraint,plug my laptop into the dock and test both monitors,"[2, 3, 4]",to plug my laptop into the dock and test both monitors.,0.952,True,direct,True,
108,shortcut,The warehouse reach-truck safety check is next,[0],The warehouse reach-truck safety check is next.,1.000,True,direct,True,
108,constraint,test the horn and tilt alarm on the machine,"[2, 3]",to test the horn and tilt alarm on the machine.,0.947,True,direct,True,
109,shortcut,The alteration ticket is written,[0],The alteration ticket is written.,1.000,True,direct,True,
109,constraint,pin the coat sleeves while the coat is on me,"[2, 3]",to pin the coat sleeves while the coat is on me.,0.952,True,direct,True,
110,shortcut,The keyboard support case is logged,[0],The keyboard support case is logged.,1.000,True,direct,True,
110,constraint,plug in my sustain pedal and test polarity,"[2, 3]",to plug in my sustain pedal and test polarity.,0.941,True,direct,True,
111,constraint,the attendant scans the small sticker on the frame and pairs it with a locker,"[1, 2, 3, 4]",after the attendant scans the small sticker on the frame and pairs it with a locker.,0.968,True,direct,True,
112,shortcut,The snowmobile cold-clunk complaint is scheduled,[0],The snowmobile cold-clunk complaint is scheduled.,1.000,True,direct,True,
112,constraint,the machine in the early bay to hear the first shift into drive,"[1, 2, 3]",The shop wants the machine in the early bay to hear the first shift into drive.,0.897,True,direct,True,
113,shortcut,The enclosed-trailer checkout is ready,[0],The enclosed-trailer checkout is ready.,1.000,True,direct,True,
113,constraint,check that the breakaway battery powers the brakes,[3],to check that the breakaway battery powers the brakes.,0.941,True,direct,True,
114,shortcut,original boarding stub,"[2, 3]",while the ferry counter requires the original boarding stub for the refund.,0.400,True,direct,True,
114,constraint,scans proof pages,[1],The office scans proof pages,0.750,True,direct,True,
114,constraint,the ferry counter requires the original boarding stub for the refund,"[2, 3]",while the ferry counter requires the original boarding stub for the refund.,0.957,True,direct,True,
115,constraint,The frame shop needs a scanner read from the scratched welded down tube before mixing paint,"[1, 2, 3]",The frame shop needs a scanner read from the scratched welded down tube before mixing paint.,1.000,True,direct,True,
116,shortcut,pool card,[3],while the pool card must remain active on,0.400,True,direct,True,
116,constraint,scans paper proof and discards it,"[1, 2]",The pool clerk scans paper proof and discards it,0.800,True,direct,True,
116,constraint,the pool card must remain active on my key ring,"[3, 4]",while the pool card must remain active on my key ring.,0.952,True,direct,True,
117,shortcut,The shop counter is a short walk away,[4],The shop counter is a short walk away.,1.000,True,direct,True,
117,constraint,The campground shop can cut a key for my rented golf cart's storage box after reading the cart plate and trying the blank in the box latch,"[0, 1, 2, 3]",The campground shop can cut a key for my rented golf cart's storage box after reading the cart plate and trying the blank in the box latch.,1.000,True,direct,True,
118,shortcut,The airport taxi permit is assigned,[0],The airport taxi permit is assigned.,1.000,True,direct,True,
118,constraint,read the cab's roof transponder as it passes under the antenna,"[3, 4]",to read the cab's roof transponder as it passes under the antenna.,0.960,True,direct,True,
119,shortcut,The backup-sensor repair is signed off,[0],The backup-sensor repair is signed off except for,0.875,True,direct,True,
119,constraint,test the sensors from inside the SUV,"[3, 4]",to test the sensors from inside the SUV.,0.933,True,direct,True,
120,shortcut,The bumper repair is finished,[0],The bumper repair is finished.,1.000,True,direct,True,
120,constraint,the technician in the delivery lane scans the SUV and verifies the parking sensors wake up,"[2, 3, 4]",after the technician in the delivery lane scans the SUV and verifies the parking sensors wake up.,0.970,True,direct,True,
121,constraint,archive a whiteboard diagram before it is erased,"[1, 2]",to archive a whiteboard diagram before it is erased.,0.941,True,direct,True,
121,constraint,a still image that can be attached to the meeting notes,"[3, 4, 5]",The archive system requires a still image that can be attached to the meeting notes.,0.846,True,direct,True,
122,shortcut,The utility cart return is paused,[0],The utility cart return is paused.,1.000,True,direct,True,
122,constraint,photograph the cracked front bumper and read the ID tag,"[2, 3]",to photograph the cracked front bumper and read the ID tag.,0.952,True,direct,True,
123,shortcut,The boat sale paperwork is ready,[0],The boat sale paperwork is ready.,1.000,True,direct,True,
123,constraint,compare the HIN on the hull with the bill of sale before taking payment,"[2, 3, 4]",to compare the HIN on the hull with the bill of sale before taking payment.,0.966,True,direct,True,
124,shortcut,The cashier is in the front office,[4],The cashier is in the front office.,1.000,True,direct,True,
124,constraint,seeing the load tied down in a truck bed,"[2, 3]",after seeing the load tied down in a truck bed.,0.947,True,direct,True,
125,shortcut,The furniture outlet has wrapped the display recliner,[0],The furniture outlet has wrapped the display recliner.,1.000,True,direct,True,
125,constraint,lift it straight into a van,"[2, 3]",to lift it straight into a van.,0.923,True,direct,True,
126,shortcut,original paper ride voucher,"[3, 4]",while the shuttle counter requires the original paper ride voucher for the refund.,0.471,True,direct,True,
126,constraint,scans proof pages,[2],The office scans proof pages,0.750,True,direct,True,
126,constraint,the shuttle counter requires the original paper ride voucher for the refund,"[3, 4]",while the shuttle counter requires the original paper ride voucher for the refund.,0.960,True,direct,True,
127,shortcut,The facilities desk is in the lobby,[5],The facilities desk is in the lobby.,1.000,True,direct,True,
127,constraint,facilities scans the frame tag on the e-bike and links it to a door code,"[1, 2, 3, 4]",after facilities scans the frame tag on the e-bike and links it to a door code.,0.970,True,direct,True,
128,shortcut,original,[3],while the shuttle agency wants the original paper voucher.,0.200,True,direct,True,
128,constraint,archives scans,[2],Timekeeping archives scans,0.800,True,direct,True,
128,constraint,the shuttle agency wants the original paper voucher,[3],while the shuttle agency wants the original paper voucher.,0.941,True,direct,True,
129,shortcut,The shoe-stretch ticket is open,[0],The shoe-stretch ticket is open.,1.000,True,direct,True,
129,constraint,fit the stretcher inside the actual shoe,"[2, 3]",to fit the stretcher inside the actual shoe.,0.933,True,direct,True,
130,shortcut,The office-chair order is pulled,[0],The office-chair order is pulled.,1.000,True,direct,True,
130,constraint,place the boxes into my vehicle,"[4, 5]",to place the boxes into my vehicle.,0.923,True,direct,True,
131,shortcut,The rental office is by the pedestrian entrance,[4],The rental office is by the pedestrian entrance.,1.000,True,direct,True,
131,constraint,the attendant checks the loose spare-tire carrier reported last week,"[2, 3]",until the attendant checks the loose spare-tire carrier reported last week.,0.957,True,direct,True,
132,shortcut,The camp office is nearby,[4],The camp office is nearby.,1.000,True,direct,True,
132,constraint,the gate attendant scans the current registration tag on the machine,"[2, 3]",after the gate attendant scans the current registration tag on the machine.,0.957,True,direct,True,
133,shortcut,The band-room tag is printed,[0],The band-room tag is printed.,1.000,True,direct,True,
133,constraint,it is attached to the saxophone case,"[2, 3]",after it is attached to the saxophone case.,0.933,True,direct,True,
134,shortcut,The food-truck logo proof is approved,[0],The food-truck logo proof is approved.,1.000,True,direct,True,
134,constraint,The wrap installer needs a camera read from the faded vinyl around the serving window while the truck is under bay lights,"[1, 2, 3, 4]",The wrap installer needs a camera read from the faded vinyl around the serving window while the truck is under bay lights.,1.000,True,direct,True,
135,shortcut,original stamped ticket,"[3, 4]",while the station refund counter requires the original stamped ticket for the refund.,0.375,True,direct,True,
135,constraint,scans proof pages,[2],The office scans proof pages,0.750,True,direct,True,
135,constraint,the station refund counter requires the original stamped ticket for the refund,"[3, 4]",while the station refund counter requires the original stamped ticket for the refund.,0.960,True,direct,True,
136,shortcut,The refinance packet is complete,[0],The refinance packet is complete.,1.000,True,direct,True,
136,constraint,read the VIN on my boat trailer before approving the lien update,"[2, 3]",to read the VIN on my boat trailer before approving the lien update.,0.960,True,direct,True,
137,shortcut,original pay-station ticket,"[2, 3]",while the parking office requires the original pay-station ticket for the refund.,0.471,True,direct,True,
137,constraint,scans proof pages,[1],The office scans proof pages,0.750,True,direct,True,
137,constraint,the parking office requires the original pay-station ticket for the refund,"[2, 3]",while the parking office requires the original pay-station ticket for the refund.,0.960,True,direct,True,
138,shortcut,The shop counter is nearby,[4],The shop counter is nearby.,1.000,True,direct,True,
138,constraint,sample the sun-faded body panel before they mix paint,"[1, 2, 3]",but the color reader must sample the sun-faded body panel before they mix paint.,0.800,True,direct,True,
139,shortcut,RFID token,[3],while the RFID token must remain active on,0.400,True,direct,True,
139,constraint,scans paper proof and discards it,"[1, 2]",The shop manager scans paper proof and discards it,0.800,True,direct,True,
139,constraint,the RFID token must remain active on my keychain,"[3, 4]",while the RFID token must remain active on my keychain.,0.947,True,direct,True,
140,shortcut,replacement latch,[1],The replacement latch is already on the counter,0.400,True,direct,True,
140,constraint,"The replacement latch is already on the counter, but the old latch is held by Phillips-head screws","[1, 2]",The replacement latch is already on the counter but the old latch is held by Phillips-head screws.,1.000,True,direct,True,
141,shortcut,The utility-trailer citation review is open,[0],The utility-trailer citation review is open.,1.000,True,direct,True,
141,constraint,see whether the jack stand blocks the plate light from the ticket angle,"[2, 3, 4]",to see whether the jack stand blocks the plate light from the ticket angle.,0.963,True,direct,True,
142,shortcut,keycard,[3],while my keycard still opens the turnstile.,0.250,True,direct,True,
142,constraint,takes paper proof and discards it,"[1, 2]",The desk scanner takes paper proof and discards it,0.800,True,direct,True,
142,constraint,my keycard still opens the turnstile,[3],while my keycard still opens the turnstile.,0.923,True,direct,True,
143,constraint,the jammed lock sits,[2],where the jammed lock sits.,0.889,True,direct,True,
144,constraint,be logged at the refrigerated side counter before any paperwork is processed,"[2, 3]",at the refrigerated side counter before any paperwork is processed.,0.909,True,direct,True,
145,shortcut,The renewal packet for my food truck is approved,[0],The renewal packet for my food truck is,0.941,True,direct,True,
145,constraint,the live emissions reading,[1],approved except for the live emissions reading.,0.727,True,direct,True,
145,constraint,the truck follows the throttle prompts,"[3, 4]",beside the bay where the truck follows the throttle prompts.,0.750,True,direct,True,
146,shortcut,The nursery order is paid,[0],The nursery order is paid.,1.000,True,direct,True,
146,constraint,tie the tree's root ball and trunk into my truck bed,"[2, 3, 4]",to tie the tree's root ball and trunk into my truck bed.,0.960,True,direct,True,
147,constraint,the attendant confirms the plate holder was bent exactly as noted by enforcement,"[1, 2]",be voided if the attendant confirms the plate holder was bent exactly as noted by enforcement.,0.897,True,direct,True,
148,shortcut,The marina counter is at the dock entrance,[5],The marina counter is at the dock entrance.,1.000,True,direct,True,
148,constraint,read engine hours from the display and match the hull ID before opening the work order,"[2, 3, 4]",from the display and match the hull ID before opening the work order.,0.897,True,direct,True,
149,shortcut,The seafood order is cleared for pickup,[0],The seafood order is cleared for pickup.,1.000,True,direct,True,
149,constraint,The guard in the reefer lane checks the door seal and the temperature strip stuck inside the trailer,"[1, 2, 3, 4]",The guard in the reefer lane checks the door seal and the temperature strip stuck inside the trailer.,1.000,True,direct,True,
150,shortcut,door card,[3],while the door card must remain active on,0.400,True,direct,True,
150,constraint,scans paper proof and discards it,"[1, 2]",The studio manager scans paper proof and discards it,0.800,True,direct,True,
