id	correct	distractor	decisive_tournament	similarity	question	correct_source	distractor_source
tennis_qa_0019	Dick Savitt	Frank Sedgman	US Open	1.2102	This accomplished male tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the Australian Open singles title. However, by the end of 2019, this player had never won the US Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Dick_Savitt	https://en.wikipedia.org/wiki/Frank_Sedgman
tennis_qa_0020	Kim Clijsters	Justine Henin	French Open	1.1215	This accomplished female tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the Australian Open singles title. Both candidates represented Belgium. However, by the end of 2019, this player had never won the French Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Kim_Clijsters	https://en.wikipedia.org/wiki/Justine_Henin
tennis_qa_0021	Tony Trabert	Mervyn Rose	Australian Open	1.1148	This accomplished male tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the French Open singles title. However, by the end of 2019, this player had never won the Australian Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Tony_Trabert	https://en.wikipedia.org/wiki/Mervyn_Rose
tennis_qa_0022	Françoise Dürr	Nancy Richey	Australian Open	1.1338	This accomplished female tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the French Open singles title. However, by the end of 2019, this player had never won the Australian Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Françoise_Dürr	https://en.wikipedia.org/wiki/Nancy_Richey
tennis_qa_0023	Sue Barker	Martina Navratilova	US Open	1.1041	This accomplished female tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the French Open singles title. However, by the end of 2019, this player had never won the US Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Sue_Barker	https://en.wikipedia.org/wiki/Martina_Navratilova
tennis_qa_0024	Shirley Brasher	Maureen Connolly	Wimbledon	1.1041	This accomplished female tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the French Open singles title. However, by the end of 2019, this player had never won the Wimbledon singles title. Who is this person?	https://en.wikipedia.org/wiki/Shirley_Brasher	https://en.wikipedia.org/wiki/Maureen_Connolly
tennis_qa_0025	Wilmer Allison	René Lacoste	French Open	1.1218	This accomplished male tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the US Open singles title. However, by the end of 2019, this player had never won the French Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Wilmer_Allison	https://en.wikipedia.org/wiki/René_Lacoste
tennis_qa_0026	Manuel Santana	Rod Laver	Australian Open	1.1196	This accomplished male tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the French Open singles title. However, by the end of 2019, this player had never won the Australian Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Manuel_Santana	https://en.wikipedia.org/wiki/Rod_Laver
tennis_qa_0027	Lesley Turner Bowrey	Nancy Richey	Australian Open	1.1575	This accomplished female tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the French Open singles title. However, by the end of 2019, this player had never won the Australian Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Lesley_Turner_Bowrey	https://en.wikipedia.org/wiki/Nancy_Richey
tennis_qa_0028	Stan Wawrinka	Roger Federer	Wimbledon	1.0768	This accomplished male tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the Australian Open singles title. Both candidates represented Switzerland. However, by the end of 2019, this player had never won the Wimbledon singles title. Who is this person?	https://en.wikipedia.org/wiki/Stan_Wawrinka	https://en.wikipedia.org/wiki/Roger_Federer
tennis_qa_0029	Hilde Krahwinkel Sperling	Cilly Aussem	Wimbledon	1.0701	This accomplished female tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the French Open singles title. Both candidates represented Germany. However, by the end of 2019, this player had never won the Wimbledon singles title. Who is this person?	https://en.wikipedia.org/wiki/Hilde_Krahwinkel_Sperling	https://en.wikipedia.org/wiki/Cilly_Aussem
tennis_qa_0030	Harold Mahony	Laurence Doherty	US Open	1.1530	This accomplished male tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the Wimbledon singles title. Both candidates represented United Kingdom of Great Britain and Ireland. However, by the end of 2019, this player had never won the US Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Harold_Mahony	https://en.wikipedia.org/wiki/Laurence_Doherty
tennis_qa_0031	Anastasia Myskina	Svetlana Kuznetsova	US Open	1.0342	This accomplished female tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the French Open singles title. Both candidates represented Russia. However, by the end of 2019, this player had never won the US Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Anastasia_Myskina	https://en.wikipedia.org/wiki/Svetlana_Kuznetsova
tennis_qa_0032	Dorothy Round	Cilly Aussem	French Open	1.0522	This accomplished female tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the Wimbledon singles title. However, by the end of 2019, this player had never won the French Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Dorothy_Round	https://en.wikipedia.org/wiki/Cilly_Aussem
tennis_qa_0033	Jimmy Connors	Guillermo Vilas	French Open	1.0692	This accomplished male tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the Australian Open singles title. However, by the end of 2019, this player had never won the French Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Jimmy_Connors	https://en.wikipedia.org/wiki/Guillermo_Vilas
tennis_qa_0034	Venus Williams	Martina Hingis	Australian Open	1.0606	This accomplished female tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the US Open singles title. However, by the end of 2019, this player had never won the Australian Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Venus_Williams	https://en.wikipedia.org/wiki/Martina_Hingis
tennis_qa_0035	Fred Stolle	Manuel Santana	Wimbledon	1.0909	This accomplished male tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the French Open singles title. However, by the end of 2019, this player had never won the Wimbledon singles title. Who is this person?	https://en.wikipedia.org/wiki/Fred_Stolle	https://en.wikipedia.org/wiki/Manuel_Santana
tennis_qa_0036	Lleyton Hewitt	Roger Federer	Australian Open	1.0387	This accomplished male tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the US Open singles title. However, by the end of 2019, this player had never won the Australian Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Lleyton_Hewitt	https://en.wikipedia.org/wiki/Roger_Federer
tennis_qa_0037	Françoise Dürr	Margaret Court	US Open	1.0765	This accomplished female tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the French Open singles title. However, by the end of 2019, this player had never won the US Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Françoise_Dürr	https://en.wikipedia.org/wiki/Margaret_Court
tennis_qa_0038	Ernest Renshaw	Laurence Doherty	US Open	1.1271	This accomplished male tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the Wimbledon singles title. Both candidates represented United Kingdom of Great Britain and Ireland. However, by the end of 2019, this player had never won the US Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Ernest_Renshaw	https://en.wikipedia.org/wiki/Laurence_Doherty
tennis_qa_0039	Svetlana Kuznetsova	Maria Sharapova	Wimbledon	1.0194	This accomplished female tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the French Open singles title. Both candidates represented Russia. However, by the end of 2019, this player had never won the Wimbledon singles title. Who is this person?	https://en.wikipedia.org/wiki/Svetlana_Kuznetsova	https://en.wikipedia.org/wiki/Maria_Sharapova
tennis_qa_0040	Louise Brough	Doris Hart	French Open	0.9693	This accomplished female tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the Australian Open singles title. Both candidates represented United States. However, by the end of 2019, this player had never won the French Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Louise_Brough	https://en.wikipedia.org/wiki/Doris_Hart
tennis_qa_0041	Stan Smith	Ilie Năstase	French Open	1.0167	This accomplished male tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the US Open singles title. However, by the end of 2019, this player had never won the French Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Stan_Smith	https://en.wikipedia.org/wiki/Ilie_Năstase
tennis_qa_0042	Gottfried von Cramm	Fred Perry	Australian Open	0.9905	This accomplished male tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the French Open singles title. However, by the end of 2019, this player had never won the Australian Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Gottfried_von_Cramm	https://en.wikipedia.org/wiki/Fred_Perry
tennis_qa_0043	Ernie Parker	Anthony Wilding	Wimbledon	0.9864	This accomplished male tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the Australian Open singles title. However, by the end of 2019, this player had never won the Wimbledon singles title. Who is this person?	https://en.wikipedia.org/wiki/Ernie_Parker	https://en.wikipedia.org/wiki/Anthony_Wilding
tennis_qa_0044	William Renshaw	Laurence Doherty	US Open	1.1271	This accomplished male tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the Wimbledon singles title. Both candidates represented United Kingdom of Great Britain and Ireland. However, by the end of 2019, this player had never won the US Open singles title. Who is this person?	https://en.wikipedia.org/wiki/William_Renshaw	https://en.wikipedia.org/wiki/Laurence_Doherty
tennis_qa_0045	Anastasia Myskina	Serena Williams	Australian Open	0.9925	This accomplished female tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the French Open singles title. However, by the end of 2019, this player had never won the Australian Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Anastasia_Myskina	https://en.wikipedia.org/wiki/Serena_Williams
tennis_qa_0046	Christine Truman	Ann Haydon-Jones	Wimbledon	0.9416	This accomplished female tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the French Open singles title. Both candidates represented United Kingdom. However, by the end of 2019, this player had never won the Wimbledon singles title. Who is this person?	https://en.wikipedia.org/wiki/Christine_Truman	https://en.wikipedia.org/wiki/Ann_Jones_(tennis)
tennis_qa_0047	Lindsay Davenport	Serena Williams	French Open	0.9881	This accomplished female tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the Australian Open singles title. Both candidates represented United States. However, by the end of 2019, this player had never won the French Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Lindsay_Davenport	https://en.wikipedia.org/wiki/Serena_Williams
tennis_qa_0048	Charlotte Cooper	Maud Barger-Wallach	US Open	0.9334	This accomplished female tennis player won at least one Grand Slam singles title during a career established before the end of 2019. However, by the end of 2019, this player had never won the US Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Charlotte_Cooper_(tennis)	https://en.wikipedia.org/wiki/Maud_Barger-Wallach
tennis_qa_0049	Pete Sampras	Andre Agassi	French Open	1.0147	This accomplished male tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the Australian Open singles title. Both candidates represented United States. However, by the end of 2019, this player had never won the French Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Pete_Sampras	https://en.wikipedia.org/wiki/Andre_Agassi
tennis_qa_0050	Yannick Noah	Ivan Lendl	Australian Open	0.9895	This accomplished male tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the French Open singles title. However, by the end of 2019, this player had never won the Australian Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Yannick_Noah	https://en.wikipedia.org/wiki/Ivan_Lendl
tennis_qa_0051	Mats Wilander	Stefan Edberg	Wimbledon	0.9801	This accomplished male tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the Australian Open singles title. Both candidates represented Sweden. However, by the end of 2019, this player had never won the Wimbledon singles title. Who is this person?	https://en.wikipedia.org/wiki/Mats_Wilander	https://en.wikipedia.org/wiki/Stefan_Edberg
tennis_qa_0052	Alex Olmedo	Ashley Cooper	US Open	1.0404	This accomplished male tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the Australian Open singles title. However, by the end of 2019, this player had never won the US Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Alex_Olmedo	https://en.wikipedia.org/wiki/Ashley_Cooper_(tennis)
tennis_qa_0053	Julie Vlasto	Suzanne Lenglen	Wimbledon	0.9313	This accomplished female tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the French Open singles title. Both candidates represented France. However, by the end of 2019, this player had never won the Wimbledon singles title. Who is this person?	https://en.wikipedia.org/wiki/Julie_Vlasto	https://en.wikipedia.org/wiki/Suzanne_Lenglen
tennis_qa_0054	Lena Rice	Mabel Cahill	US Open	0.9253	This accomplished female tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Both candidates represented United Kingdom of Great Britain and Ireland. However, by the end of 2019, this player had never won the US Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Lena_Rice	https://en.wikipedia.org/wiki/Mabel_Cahill
tennis_qa_0055	Sarah Palfrey Cooke	Margaret Scriven	French Open	0.9233	This accomplished female tennis player won at least one Grand Slam singles title during a career established before the end of 2019. However, by the end of 2019, this player had never won the French Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Sarah_Palfrey_Cooke	https://en.wikipedia.org/wiki/Margaret_Scriven
tennis_qa_0056	Anastasia Myskina	Maria Sharapova	Australian Open	0.9894	This accomplished female tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the French Open singles title. Both candidates represented Russia. However, by the end of 2019, this player had never won the Australian Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Anastasia_Myskina	https://en.wikipedia.org/wiki/Maria_Sharapova
tennis_qa_0057	Jack Kramer	Jaroslav Drobný	French Open	0.9850	This accomplished male tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the Wimbledon singles title. However, by the end of 2019, this player had never won the French Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Jack_Kramer	https://en.wikipedia.org/wiki/Jaroslav_Drobný
tennis_qa_0058	Michael Stich	Boris Becker	Australian Open	0.9583	This accomplished male tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the Wimbledon singles title. Both candidates represented Germany. However, by the end of 2019, this player had never won the Australian Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Michael_Stich	https://en.wikipedia.org/wiki/Boris_Becker
tennis_qa_0059	Bernard Destremau	Yvon Petra	Wimbledon	0.9558	This accomplished male tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the French Open singles title. Both candidates represented France. However, by the end of 2019, this player had never won the Wimbledon singles title. Who is this person?	https://en.wikipedia.org/wiki/Bernard_Destremau	https://en.wikipedia.org/wiki/Yvon_Petra
tennis_qa_0060	Louise Brough	Shirley Fry	French Open	0.9727	This accomplished female tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the Australian Open singles title. Both candidates represented United States. However, by the end of 2019, this player had never won the French Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Louise_Brough	https://en.wikipedia.org/wiki/Shirley_Fry
tennis_qa_0061	Ethel Thomson Larcombe	Marion Jones Farquhar	US Open	0.9197	This accomplished female tennis player won at least one Grand Slam singles title during a career established before the end of 2019. However, by the end of 2019, this player had never won the US Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Ethel_Thomson_Larcombe	https://en.wikipedia.org/wiki/Marion_Jones_Farquhar
tennis_qa_0062	Shirley Brasher	Ann Haydon-Jones	Wimbledon	0.9662	This accomplished female tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the French Open singles title. Both candidates represented United Kingdom. However, by the end of 2019, this player had never won the Wimbledon singles title. Who is this person?	https://en.wikipedia.org/wiki/Shirley_Brasher	https://en.wikipedia.org/wiki/Ann_Jones_(tennis)
tennis_qa_0063	Althea Gibson	Doris Hart	Australian Open	0.9633	This accomplished female tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the French Open singles title. Both candidates represented United States. However, by the end of 2019, this player had never won the Australian Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Althea_Gibson	https://en.wikipedia.org/wiki/Doris_Hart
tennis_qa_0064	Lew Hoad	Roy Emerson	US Open	1.0295	This accomplished male tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the Australian Open singles title. Both candidates represented Australia. However, by the end of 2019, this player had never won the US Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Lew_Hoad	https://en.wikipedia.org/wiki/Roy_Emerson
tennis_qa_0065	Ted Schroeder	Jaroslav Drobný	French Open	0.9850	This accomplished male tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the Wimbledon singles title. However, by the end of 2019, this player had never won the French Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Ted_Schroeder	https://en.wikipedia.org/wiki/Jaroslav_Drobný
tennis_qa_0066	Goran Ivanišević	Pete Sampras	Australian Open	0.9668	This accomplished male tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the Wimbledon singles title. However, by the end of 2019, this player had never won the Australian Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Goran_Ivanišević	https://en.wikipedia.org/wiki/Pete_Sampras
tennis_qa_0067	James Cecil Parke	Norman Brookes	Wimbledon	0.9322	This accomplished male tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the Australian Open singles title. Both candidates represented United Kingdom. However, by the end of 2019, this player had never won the Wimbledon singles title. Who is this person?	https://en.wikipedia.org/wiki/James_Cecil_Parke	https://en.wikipedia.org/wiki/Norman_Brookes
tennis_qa_0068	Pauline Betz	Margaret Osborne duPont	French Open	0.9151	This accomplished female tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the US Open singles title. Both candidates represented United States. However, by the end of 2019, this player had never won the French Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Pauline_Betz	https://en.wikipedia.org/wiki/Margaret_Osborne_duPont
tennis_qa_0069	Jennifer Capriati	Monica Seles	US Open	0.9391	This accomplished female tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the Australian Open singles title. Both candidates represented United States. However, by the end of 2019, this player had never won the US Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Jennifer_Capriati	https://en.wikipedia.org/wiki/Monica_Seles
tennis_qa_0070	Aline Terry	Coral Buttsworth	Australian Open	0.9062	This accomplished female tennis player won at least one Grand Slam singles title during a career established before the end of 2019. However, by the end of 2019, this player had never won the Australian Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Aline_Terry	https://en.wikipedia.org/wiki/Coral_Buttsworth
tennis_qa_0071	Nancy Richey	Billie Jean King	Wimbledon	0.9786	This accomplished female tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the Australian Open singles title. Both candidates represented United States. However, by the end of 2019, this player had never won the Wimbledon singles title. Who is this person?	https://en.wikipedia.org/wiki/Nancy_Richey	https://en.wikipedia.org/wiki/Billie_Jean_King
tennis_qa_0072	Stan Smith	Jan Kodeš	French Open	0.9629	This accomplished male tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the Wimbledon singles title. However, by the end of 2019, this player had never won the French Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Stan_Smith	https://en.wikipedia.org/wiki/Jan_Kodeš
tennis_qa_0073	Alex Olmedo	Roy Emerson	US Open	1.0067	This accomplished male tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the Australian Open singles title. However, by the end of 2019, this player had never won the US Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Alex_Olmedo	https://en.wikipedia.org/wiki/Roy_Emerson
tennis_qa_0074	Andrés Gimeno	Manuel Santana	Wimbledon	0.9766	This accomplished male tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the French Open singles title. Both candidates represented Spain. However, by the end of 2019, this player had never won the Wimbledon singles title. Who is this person?	https://en.wikipedia.org/wiki/Andrés_Gimeno	https://en.wikipedia.org/wiki/Manuel_Santana
tennis_qa_0075	Björn Borg	Stefan Edberg	Australian Open	0.9339	This accomplished male tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the Wimbledon singles title. Both candidates represented Sweden. However, by the end of 2019, this player had never won the Australian Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Björn_Borg	https://en.wikipedia.org/wiki/Stefan_Edberg
