1,What is the primary function of mitochondria in eukaryotic cells?,energy production,protein synthesis,"Protein synthesis is crucial for cellular function,",Mitochondria function
1,Which planet has the most moons in our solar system?,Jupiter,Saturn,"Saturn is known for its many rings and moons,",Planets with the most moons
1,Which vitamin is primarily known for promoting good vision and skin health?,vitamin A,vitamin C,"Vitamin C is important for the immune system,",A vitamin for vision and skin health
1,Which element is essential for plant growth and is also a key component of DNA and chlorophyll?,magnesium,nitrogen,"Nitrogen is important for plant proteins,",An element essential for plant growth and DNA
1,Which organ in the human body produces insulin?,pancreas,liver,"The liver is responsible for producing many hormones,",Insulin-producing organ
1,What is the largest organ in the human body?,skin,lungs,"The lungs, as they are so large inside us,",The largest organ
1,Which gas do plants primarily absorb from the air?,carbon dioxide,oxygen,"Plants need oxygen to survive,",Plants primarily absorb
1,Who is credited with the discovery of penicillin?,Alexander Fleming,Albert Einstein,"Einstein's contributions to science,",Discovery of penicillin
1,What is the smallest bone in the human body?,"stirrup bone (malleus, incus, stapes)",toe bone,"Toes contain many small bones,",Smallest bone
1,Which planet in our solar system has the most moons?,Jupiter,Saturn,"Saturn is known for its many rings,",Planet with the most moons
1,What is the strongest muscle in the human body?,masseter (chewing muscle),heart muscle,"The heart is constantly working,",Strongest muscle
1,Which element is represented by the symbol Au?,gold,silver,"Silver is shiny and conductive,",Element symbol Au
1,Who is considered the father of genetics?,Gregor Mendel,Charles Darwin,"Darwin is famous for evolution,",Father of genetics
1,What element does a diamond consist of primarily?,carbon,silicon,"Diamonds, like silicon chips,",Diamonds
1,Which physicist formulated the law of universal gravitation?,Isaac Newton,Galileo Galilei,"Both Newton and Galileo,","Formulated laws of physics, including gravity, but"
1,Which planet in our solar system is known as the Red Planet?,Mars,Venus,"Venus, with its thick atmosphere,",The Red Planet known for its red surface
1,What is the main ingredient in making concrete?,cement,sand,"Concrete is made from sand,",Making cement-based materials
1,Which element is associated with the term 'vitamin C'?,ascorbic acid,iron,"Iron is crucial for blood production,","Vitamin C, also known as"
1,What gas is primarily responsible for global warming?,carbon dioxide,ozone,"Ozone depletes the ozone layer,",Greenhouse gases contributing to
1,Which country hosted the 2008 Summer Olympics?,China,Japan,"Japan held the 2004 Athens Olympics,",The Beijing 2008 Olympics were hosted by
1,Which chemical compound is used as a preservative in food industry?,sodium benzoate,salt,"Salt, used since ancient times,",Preservatives like sodium benzoate are used in
1,What is the primary source of energy for the sun?,nuclear fusion,solar panels,"Solar panels convert sunlight into electricity,",The sun's primary energy source is
1,Which gas causes the greenhouses effect in Earth's atmosphere?,carbon dioxide,ozone,"Ozone depletes the ozone layer, but",Greenhouse gases
1,Which physicist proposed the theory of general relativity?,Albert Einstein,Isaac Newton,"Before Einstein, Newton had his theories,",Modern physicists
1,Which element is used in LED lighting?,gallium,lithium,"Lithium batteries are everywhere,",LED components
1,What is the main cause of ocean acidification?,carbon dioxide absorption,oil spills,"Ocean dead zones and spills,",Ocean chemistry changes
1,Which scientist developed the first practical vaccine?,Edward Jenner,Louis Pasteur,"Louis Pasteur’s contributions to vaccines,",Early vaccine development
1,What type of rock forms from cooled lava?,igneous,sedimentary,"Sedimentary rocks form from compacted layers of mud,",Rock formations
1,What is the primary function of chloroplasts in plant cells?,photosynthesis,synthesis of proteins,"Protein synthesis occurs in ribosomes,",Cell organelles
1,What type of animal gives live birth and has fur?,mammals,reptiles,"Reptiles lay eggs and are cold-blooded,",Warm-blooded animals
1,Which element is known as the 'metal of the future'?,titanium,aluminum,"Aluminum is lightweight and used in soda cans,",Light metals
1,Which gas is most abundant in Earth's atmosphere?,Nitrogen,Oxygen,"We need oxygen to breathe,","Most abundant gas in Earth's atmosphere,"
1,What is the main ingredient in chocolate chip cookies?,Chocolate chips,Sugar,"Cookies are sweet,","Main ingredient in chocolate chip cookies,"
1,What material is used for the head of a golf ball?,Solid plastic,Rubber,"Golf balls are bouncy,","Material used for the head of a golf ball,"
1,What is the primary element of water (by mass)?,Hydrogen,Oxygen,"Water boils at 100 degrees Celsius,","Primary element of water (by mass),"
1,Which vitamin is primarily responsible for vision in low light?,Vitamin A,Vitamin C,"Fruits and vegetables have vitamin C,","Vitamin primarily responsible for vision in low light,"
1,What type of bird can fly faster than any other bird?,Spreading Wings Bird (Peregrine Falcon in steep dive),Albatross,"Albatrosses are known for their long flights,",Fastest flying bird (when diving)
1,What is the main component of a diamond?,Carbon,Silicon,"Silicon is found in sand,","Main component of a diamond,"
1,Which gas is primarily used in balloons and party decorations?,Helium,Hydrogen,"Hydrogen is highly flammable,","Gas primarily used in balloons and party decorations,"
