id,pred_shortcut_span,pred_shortcut_index,gold_shortcut_indices,gold_shortcut_core_texts,shortcut_confidence,shortcut_eligible,shortcut_indices_available,shortcut_strict_hit,pred_constraint_span,pred_constraint_index,gold_constraint_indices,gold_constraint_proposition_indices,gold_constraint_core_texts,constraint_indices_available,constraint_strict_hit,constraint_proposition_indices_available,constraint_proposition_hit,candidate_level_safe,cue_identification_status,notes
11,,,[0],['UTV return contract is prepared'],high,True,True,False,to photograph the bumper dent,2,"[2, 3]","[2, 3]","['photograph the bumper dent', 'hour meter']",True,True,True,True,True,constraint_only,The inspection targets physical features on the UTV.
12,The hall sticker must be on the support bag,1,[1],['hall sticker'],medium,True,True,True,,,"[1, 2]","[1, 2]","['sticker must be on the support bag', 'before it goes behind the stage']",True,False,True,False,False,shortcut_only,Shortcut and constraint overlap lexically.
13,,,[1],['collection label'],medium,True,True,False,The collection label must be on the folder tab,1,"[1, 2]","[1, 2]","['label must be on the folder tab', 'before staff shelve it']",True,True,True,True,False,constraint_only,Shortcut and constraint overlap lexically.
14,,,[0],['side-case key is approved'],medium,True,True,False,to decode the lock,2,"[2, 3]","[2, 3]","['decode the lock', 'case is still mounted']",True,True,True,True,True,constraint_only,Shortcut cue is provisional because the counterfactual variant retains similar approval wording.
15,and discards it,2,"[3, 4]",['mirror pass'],medium,True,True,False,while the mirror pass must remain active hanging,3,"[1, 2, 3, 4]","[1, 2, 3, 4]","['scans paper proof', 'discards it', 'mirror pass must remain active', 'from the mirror']",True,True,True,True,False,constraint_only,Two cooperating constraints: paper is disposable and the physical pass must stay active.
16,,,[3],['original'],medium,True,True,False,while the rebate envelope needs the original.,3,"[2, 3]","[2, 3]","['clerk scans and discards receipts', 'rebate envelope needs the original']",True,True,True,True,False,constraint_only,"The word 'original' can cue the wrong option, while the full relation says it must be preserved for the rebate."
17,,,[0],['marker-light complaint is written up'],medium,True,True,False,The horse trailer's marker-light complaint is written up.,0,[2],"[1, 2]",['load the circuit'],True,False,True,False,True,neither,Shortcut status cue is provisional.
18,The service desk is easy,6,"[6, 7, 8]",['service desk is easy to reach from the pier'],high,True,True,True,from the boat display.,5,"[3, 4, 5]","[2, 3, 4, 5]","['scan the motor serial plate', 'note hours', 'boat display']",True,True,True,True,False,both_strict,The shortcut cue is one proposition split across three candidate spans.
19,,,[0],['wheelchair repair case is reopened'],medium,True,True,False,The equipment tech is at intake,1,"[2, 3, 4]","[2, 3, 4]","['scan the asset tag', 'under the seat', 'watch the joystick boot screen']",True,False,True,False,False,neither,Shortcut status cue is provisional.
20,The service office is at the front.,6,[6],['service office is at the front'],high,True,True,True,inside the bay,3,"[2, 4, 5]","[2, 3, 4, 5]","['scan the module sticker', 'verify the VIN plate', 'before opening the job']",True,False,True,True,True,shortcut_only,Candidate 3 ('inside the bay') alone is not a sufficient gold constraint.
21,The lane technician is standing at the test antenna,1,[0],['toll-office correction is approved'],medium,True,True,False,to read my windshield transponder,2,"[2, 3]","[2, 3]","['read my windshield transponder', 'plate together']",True,True,True,True,True,constraint_only,Shortcut status cue is provisional.
22,before staff scan it.,3,[2],['field sticker'],medium,True,True,False,,,"[2, 3]","[2, 3]","['sticker must be on the frame', 'before staff scan it']",True,False,True,False,False,neither,Shortcut and constraint overlap lexically.
23,,,[2],['yard worker is at the side gate'],medium,True,True,False,front counter.,1,"[3, 4]","[3, 4]","['slide it', 'into my vehicle']",True,False,True,False,True,neither,The destination cue may encourage walking there without the vehicle.
24,,,[1],['inventory tag'],medium,True,True,False,,,"[1, 2, 3]","[1, 2, 3]","['tag must be tied', 'to the bag', 'before the clerk scans it']",True,False,True,False,False,neither,Shortcut and constraint overlap lexically.
25,,,[3],['front desk'],medium,True,True,False,I am returning a refrigerated diagnostic kit.,0,"[1, 2, 3]","[1, 2, 3]","['must be logged', 'at the cooler station on arrival', 'front desk staff cannot hold it']",True,False,True,False,False,neither,The shortcut destination is mentioned inside an explicit negation; one-token matching would be misleading.
26,The rebate form is filled out.,0,[],[],none,False,False,,,,"[2, 3]","[1, 2, 3]","['product-code panel cut', 'from the box']",True,False,True,False,True,no_evaluable_shortcut,"The photo shortcut appears mainly in the option, not as an independent scenario cue."
27,beside the scratch on my boat hull.,3,[0],['repair quote is approved'],medium,True,True,False,The repair quote is approved.,0,"[2, 3]","[2, 3]","['color reader for the faded gelcoat', 'beside the scratch on my boat hull']",True,False,True,False,True,neither,Shortcut status cue is provisional.
28,The contract counter is at the front office.,6,[6],['contract counter is at the front office'],high,True,True,True,but they release it only,2,"[2, 3, 4, 5]","[2, 3, 4, 5]","['release it only', 'connecting it', 'to my truck', 'dolly lights respond']",True,True,True,True,False,both_strict,The extracted shortcut span is a clean gold hit.
29,The recovery report is filled out.,0,[0],['recovery report is filled out'],medium,True,True,True,to confirm the VIN on my dirt bike,2,"[2, 3]","[2, 3]","['confirm the VIN on my dirt bike', 'before closing the case']",True,True,True,True,True,both_strict,Shortcut status cue is provisional because the counterfactual variant retains similar wording.
30,,,[2],['barcode tag'],medium,True,True,False,The barcode tag must wrap around the pole,2,"[2, 3]","[2, 3]","['tag must wrap around the pole', 'before staff scan it']",True,True,True,True,False,constraint_only,Shortcut and constraint overlap lexically.
31,,,[4],['The cashier window is right by the parking lot'],high,True,True,False,to the trailer plate at the ramp lane.,3,"[2, 3]","[2, 3]",['comparing it to the trailer plate at the ramp lane'],True,True,True,True,True,constraint_only,The pass is applied after staff verify the physical trailer plate at the ramp.
32,,,"[0, 1]",['The parts store offered to print a code report for my rough idle'],medium,True,True,False,but the clerk said the reader has,2,"[3, 4]","[3, 4]",['be plugged in while the engine is running in their parking spot'],True,False,True,False,True,neither,The code report requires the car running with the scanner connected.
33,I am checking in a display light stand.,0,[1],['fixture tag'],medium,True,True,False,,,"[2, 3]","[2, 3]",['be attached to the stand base before staff move it inside'],True,False,True,False,False,neither,The tag must be on the object before intake.
34,,,[1],['return label'],medium,True,True,False,I am returning a museum pass pouch.,0,"[1, 2]","[1, 2]",['be on the pouch before staff scan the return'],True,False,True,False,False,neither,The label must be on the pouch.
35,,,[1],['room-number tag'],medium,True,True,False,I am checking in a portable lectern.,0,"[2, 3]","[2, 3]",['be attached to the underside shelf before staff move it inside'],True,False,True,False,False,neither,The tag must be on the object before intake.
36,,,"[2, 3]",['original paper ticket'],medium,True,True,False,I am documenting a train cancellation for payroll.,0,"[1, 2, 3]","[1, 2, 3]","['scans proof pages', 'the rail agency requires the original paper ticket for the refund']",True,False,True,False,False,neither,"The office needs a scan, and the refund office needs the original."
37,,,[3],['suite badge'],medium,True,True,False,while the suite badge must remain active on,3,"[1, 2, 3, 4]","[1, 2, 3, 4]","['scans paper proof and discards it', 'the suite badge must remain active on my lanyard']",True,True,True,True,False,constraint_only,The archive needs paper proof while the working credential must stay available.
38,The loader is at the rear dock,1,[],[],none,False,False,,,,"[2, 3]","[2, 3]",['place the countertop slab onto the padded rack in my truck'],True,False,True,False,True,no_evaluable_shortcut,The slab is released only when it can be loaded onto the truck rack.
39,,,[0],['The reclaimed boards are approved for pickup'],high,True,True,False,The reclaimed boards are approved for pickup.,0,"[2, 3]","[2, 3]",['check the straps after the boards are on my truck'],True,False,True,False,True,neither,The gate opens after the load is strapped on the truck.
40,,,[5],['original receipt'],medium,True,True,False,to keep the original receipt.,5,"[2, 3, 4, 5]","[2, 3, 4, 5]","['stores a scan and returns no paper', 'the microphone service file asks me to keep the original receipt']",True,True,True,True,False,constraint_only,The scan target only needs a copy while the warranty target needs the original.
41,and thread new lace through it.,3,[0],['The glove repair ticket is open'],high,True,True,False,,,"[2, 3]","[2, 3]",['inspect the broken web and thread new lace through it'],True,False,True,False,True,neither,The web is on the glove.
42,The mechanic is at the aisle,1,[0],['The pallet-jack load test is approved'],high,True,True,False,,,"[2, 3, 4]","[2, 3, 4]",['watch it lift and roll with a standard pallet'],True,False,True,False,True,neither,The load test needs the pallet jack.
43,,,[0],['The outboard shifting complaint is checked in'],high,True,True,False,The marina mechanic is at the dock,1,"[2, 3]","[2, 3]",['observe neutral-to-forward engagement with the engine running'],True,False,True,False,True,neither,The shift behavior happens on the running boat.
44,Their office is a short walk,6,"[6, 7]",['Their office is a short walk from my apartment'],high,True,True,True,and sticker on the car.,5,"[4, 5]","[4, 5]",['photographing the plate and sticker on the car'],True,True,True,True,True,both_strict,The account can be cleared only after photographing identifiers on the car.
45,,,"[2, 3]",['original fare ticket'],medium,True,True,False,The payroll clerk scans proof pages,1,"[1, 2, 3]","[1, 2, 3]","['scans proof pages', 'the transit office requires the original fare ticket for the refund']",True,True,True,True,False,constraint_only,The copy preserves the original for the transit office.
46,,,[5],['The fleet office is across the apron'],high,True,True,False,The airport baggage cart bounces,0,"[3, 4]","[3, 4]",['driven slowly through a turn so they can compare wheel movement'],True,False,True,False,True,neither,Maintenance must observe the cart while it moves through a turn.
47,and discards it,2,[3],['cart permit'],medium,True,True,False,,,"[1, 2, 3, 4]","[1, 2, 3, 4]","['scans paper proof and discards it', 'the cart permit must remain active on the steering column']",True,False,True,False,False,neither,The archive needs paper proof while the working credential must stay available.
48,,,[],[],none,False,False,,The department says signed paper cards must be,1,[2],[2],"[""be put in the registrar's drop box""]",True,False,True,False,True,no_evaluable_shortcut,The signed paper card must be submitted.
49,,,[0],['The garage permit form is finished'],high,True,True,False,,,"[2, 3, 4]","[2, 3, 4]",['make one test pass with the windshield tag before marking it active'],True,False,True,False,True,neither,The windshield tag must be read while on the car.
50,to the board,2,[1],['fin tag'],medium,True,True,False,,,"[2, 3]","[2, 3]",['be attached to the board before the rack scan'],True,False,True,False,False,neither,The tag must be attached to the board.
51,,,[0],['The assembled basketball hoop base is ready'],high,True,True,False,The assembled basketball hoop base is ready.,0,"[2, 3, 4]","[2, 3, 4]",['load it into the truck bed with a cart'],True,False,True,False,True,neither,The hoop base must be loaded into the truck.
52,,,[3],['The front counter is easy to reach'],high,True,True,False,and note the odometer at intake.,2,"[1, 2]","[1, 2]",['scan the frame number and note the odometer at intake'],True,True,True,True,True,constraint_only,The scooter must be present for frame-number and odometer intake.
53,,,[0],['The donated washer pickup is authorized'],high,True,True,False,to load it straight,2,"[2, 3, 4]","[2, 3, 4]",['load it straight into my pickup and photograph the secured load'],True,True,True,True,True,constraint_only,The washer must be loaded and secured in the pickup.
54,,,[5],['original receipt'],medium,True,True,False,while the motor warranty packet asks me,4,"[2, 3, 4, 5]","[2, 3, 4, 5]","['stores a scan and returns no paper', 'the motor warranty packet asks me to keep the original receipt']",True,True,True,True,False,constraint_only,The scan target only needs a copy while the warranty target needs the original.
55,,,[3],['original dated receipt'],medium,True,True,False,with the tenant-support clerk.,1,"[2, 3]","[2, 3]","['scans proof pages and discards them', 'the manufacturer rebate requires the original dated receipt']",True,False,True,False,False,neither,The copy supports the archive while preserving the original for the rebate.
56,while the rebate form asks for the original receipt.,3,[3],['original'],medium,True,True,True,to my building file.,1,"[2, 3]","[2, 3]","['scans sheets and shreds them', 'the rebate form asks for the original receipt']",True,False,True,False,False,shortcut_only,A copy prevents losing the original rebate proof.
57,,,[5],['The counter is near the launch ramp'],high,True,True,False,to scan the hull number,2,"[2, 3, 4]","[2, 3, 4]",['scan the hull number and record engine hours before opening the bay ticket'],True,True,True,True,True,constraint_only,The bay ticket needs direct watercraft verification.
58,The manager says the door logs entries only,1,[],[],none,False,False,,,,"[0, 1, 2]","[0, 1, 2]","['enter a supply closet', 'the door logs entries only through the assigned badge scan']",True,False,True,False,True,no_evaluable_shortcut,The door requires a badge scan.
59,,,"[5, 6]",['The marina store is a short walk from my dock'],high,True,True,False,and the shop wants,1,"[2, 3, 4]","[2, 3, 4]",['plug the trailer into their tester and load the circuit'],True,False,True,False,True,neither,The wiring fault must be tested on the trailer.
60,,,[0],['The outboard campaign is listed as eligible'],medium,True,True,False,The technician is at the service slip,1,"[2, 3, 4]","[2, 3, 4]",['scan the motor serial plate and read hours from the boat display'],True,False,True,False,True,neither,The motor and display are on the boat.
61,,,[],[],none,False,False,,,,[3],[3],['be scanned into the back cold room immediately'],True,False,True,False,True,no_evaluable_shortcut,The packs need immediate cold-room intake.
62,to the back,2,[1],['room-number tag'],medium,True,True,False,,,"[2, 3]","[2, 3]",['be attached to the back before staff move it inside'],True,False,True,False,False,neither,The tag must be on the whiteboard.
63,,,[],[],none,False,False,,The confirmation is done at the drive-through guard post.,3,"[1, 2]","[1, 2]",['security confirms the windshield RFID sticker matches the serial number in their system'],True,False,True,False,True,no_evaluable_shortcut,Security must scan the van's windshield RFID sticker.
64,,,[0],['The snowmobile warranty claim is accepted'],high,True,True,False,The snowmobile warranty claim is accepted.,0,"[2, 3, 4]","[2, 3, 4]",['photograph the chassis plate and hour meter before ordering the part'],True,False,True,False,True,neither,The chassis plate and hour meter are on the snowmobile.
65,,,[],[],none,False,False,,The rep is waiting by the gate,1,"[2, 3]","[2, 3]",['compare the minibus bumper height to the gate arm mark'],True,False,True,False,True,no_evaluable_shortcut,The comparison uses the minibus bumper.
66,,,[3],['The appeal counter is inside city hall'],high,True,True,False,The parking office says my moped citation can,0,"[1, 2]","[1, 2]",['they confirm the basket bracket was covering the rear plate light'],True,False,True,False,True,neither,Cancellation depends on inspecting the moped's bracket and plate light.
67,,,[0],['The battery-test request is written'],medium,True,True,False,The battery-test request is written.,0,"[2, 3]","[2, 3]",['connect clamps while the engine runs'],True,False,True,False,True,neither,The tester connects to the running car.
68,,,[0],['The skateboard vibration ticket is open'],high,True,True,False,The skateboard vibration ticket is open.,0,"[2, 3]","[2, 3]",['watch wheel wobble while the board reaches speed'],True,False,True,False,True,neither,The wobble occurs while the board is moving.
69,,,[6],['The office is right by the dock'],high,True,True,False,to scan the faded gelcoat,3,"[3, 4, 5]","[3, 4, 5]",['scan the faded gelcoat near the damage under shop lights'],True,True,True,True,True,constraint_only,The color match must be scanned from the boat's actual gelcoat.
70,I am checking in a microscope slide.,0,[1],['ID label'],medium,True,True,False,,,"[1, 2, 3]","[1, 2, 3]",['be on the slide holder before storage'],True,False,True,False,False,neither,The label must be on the slide holder.
71,,,[],[],none,False,False,,prop is backstage left.,2,[3],[3],['She is calling a scene change over comms'],True,False,True,False,True,no_evaluable_shortcut,The headset/chat note preserves the live cue flow.
72,before staff scan the package.,3,[1],['case label'],medium,True,True,False,,,"[2, 3]","[2, 3]",['be stuck to the equipment case before staff scan the package'],True,False,True,False,False,neither,The shipping label must be on the package before scanning.
73,rope tag is on the case.,2,[],[],none,False,False,,,,[3],[3],['He is listening for a standby cue'],True,False,True,False,True,no_evaluable_shortcut,A quiet comms note avoids covering cue information.
74,The inspector is at the roller pad,1,[0],['The equipment trailer brake check is queued'],high,True,True,False,,,"[2, 3]","[2, 3]",['apply the breakaway switch and watch each wheel resist'],True,False,True,False,True,neither,The wheels and breakaway switch are on the trailer.
75,my camper,1,[4],['The office is next to the pedestrian path'],high,True,True,False,rack that was reported yesterday.,3,"[2, 3]","[2, 3]",['the attendant checks the loose rear bike rack that was reported yesterday'],True,True,True,True,True,constraint_only,Gate clearance requires inspecting the camper's rear rack.
76,,,[0],['The loaner-kit return sticker is ready'],high,True,True,False,,,[2],[2],['it is on the zipper bag'],True,False,True,False,True,neither,The sticker must be on the bag.
77,The generator-trailer return is logged.,0,[0],['The generator-trailer return is logged'],high,True,True,True,Yard staff are at the test pad,1,"[2, 3]","[2, 3]",['read the hour meter and test the brake-away battery'],True,False,True,False,True,shortcut_only,The meter and battery are on the generator trailer.
78,,,[0],['The mooring form is complete'],high,True,True,False,to read the hull number on my boat's stern,2,"[2, 3, 4]","[2, 3, 4]","[""read the hull number on my boat's stern and compare it to the registration""]",True,True,True,True,True,constraint_only,The hull number must be read from the boat.
79,,,[3],['The service window is beside the yard'],high,True,True,False,The utility-trailer ticket can be removed only if,0,"[1, 2]","[1, 2]",['staff confirm the ladder rack covers the reflector exactly as the officer described'],True,False,True,False,True,neither,Staff need to inspect the ladder rack and reflector on the trailer.
80,,,[2],['door card'],medium,True,True,False,The manager scans paper proof and discards it,1,"[1, 2]","[1, 2]","['scans paper proof and discards it', 'the door card must stay on my lanyard']",True,True,True,True,False,constraint_only,The door card must remain active and available.
81,,,[0],['The baggage-cart repair note is entered'],medium,True,True,False,to watch the wheel bracket,2,"[2, 3]","[2, 3]",['watch the wheel bracket while the cart makes a slow left turn'],True,True,True,True,True,constraint_only,The bounce occurs while the cart turns.
82,The electric motorcycle warning note is entered.,0,[0],['The electric motorcycle warning note is entered'],medium,True,True,True,The service writer is in the bay,1,"[2, 3]","[2, 3]",['downloads inverter logs from the bike'],True,False,True,False,True,shortcut_only,The inverter logs are on the motorcycle.
83,,,[0],['The apartment scooter-space permit is approved'],high,True,True,False,The apartment scooter-space permit is approved.,0,"[2, 3]","[2, 3]",['read the scooter serial plate before hanging the tag'],True,False,True,False,True,neither,The serial plate is on the scooter.
84,,,[],[],none,False,False,,I am wiping a bench with solvent wipes.,0,"[1, 2]","[1, 2]",['used solvent wipes go in the hazardous-waste bag'],True,False,True,False,True,no_evaluable_shortcut,Solvent wipes need hazardous waste.
85,,,[0],['vacuum receipt'],medium,True,True,False,I am handing a vacuum receipt,0,"[2, 3, 4]","[2, 3, 4]","['scans the page and returns no paper', 'the vacuum warranty requires the original']",True,False,True,False,False,neither,The copy is enough for the scan and keeps the original available.
86,,,[0],['The golf-cart roof kit is reserved'],high,True,True,False,to record the cart ID,2,"[2, 3, 4]","[2, 3, 4]",['record the cart ID and odometer before releasing the kit'],True,True,True,True,True,constraint_only,The ID and meter are on the cart.
87,,,[0],['The scooter paint blend is set up'],medium,True,True,False,The scooter paint blend is set up.,0,"[2, 3, 4]","[2, 3, 4]",['scan the welded rear frame rail near the repaired area before mixing'],True,False,True,False,True,neither,The welded frame rail must be scanned.
88,,,[3],['original dated receipt'],medium,True,True,False,with the building clerk.,1,"[2, 3]","[2, 3]","['scans proof pages and discards them', 'the energy rebate requires the original dated receipt']",True,False,True,False,False,neither,The copy supports the archive while preserving the original for the rebate.
89,,,[],[],none,False,False,,The warehouse forklift sometimes powers up only,0,"[1, 3, 4, 5]","[1, 3, 4, 5]","['the key is cycled twice', 'watch the display and hear the contactor during startup at the maintenance bay']",True,False,True,False,True,no_evaluable_shortcut,The mechanic needs the forklift present to reproduce the startup sequence.
90,and discards it,2,[3],['frame sticker'],medium,True,True,False,while the frame sticker must remain active on,3,"[1, 2, 3, 4]","[1, 2, 3, 4]","['scans paper proof and discards it', 'the frame sticker must remain active on the bike frame']",True,True,True,True,False,constraint_only,The archive needs paper proof while the working credential must stay available.
91,,,"[7, 8]",['The office is at the top of the dock ramp'],high,True,True,False,from the stern,4,"[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",['my small boat can be added to the mooring list after staff read the hull number from the stern and match it to the registration'],True,True,True,True,True,constraint_only,Staff must read the hull number from the boat.
92,,,[],[],none,False,False,,to tell the auction clerk that the extra,1,[4],[4],['She is calling live bids'],True,False,True,False,True,no_evaluable_shortcut,The silent channel avoids disrupting the auction call.
93,,,[1],['room-number tag'],medium,True,True,False,I am returning a study-room key.,0,"[2, 3]","[2, 3]",['be attached to the key ring before the desk scans it'],True,False,True,False,False,neither,The tag must be on the key ring.
94,,,[4],['fare receipt'],medium,True,True,False,while the taxi company requires the original printed,3,"[2, 3, 4]","[2, 3, 4]","['scans sheets', 'the taxi company requires the original printed fare receipt']",True,True,True,True,False,constraint_only,The original should be preserved for the taxi company.
95,The showroom entrance is right where I am parked.,3,[3],['The showroom entrance is right where I am parked'],high,True,True,True,and record the hour meter at check-in.,2,"[1, 2]","[1, 2]",['they scan the VIN and record the hour meter at check-in'],True,True,True,True,True,both_strict,The recall kit requires reading identifiers from the ATV.
96,The forklift driver is at the loading stripe,1,[0],['The pallet of tile is staged'],high,True,True,False,onto the truck bed,3,"[2, 3, 4]","[2, 3, 4]",['place it onto the truck bed and photograph the tiedown'],True,True,True,True,True,constraint_only,The pallet and tiedown are checked in the truck bed.
97,unless urgent.,5,[],[],none,False,False,,,,"[2, 3, 4, 5]","[2, 3, 4, 5]",['The recruiter is in an interview and asked not to be interrupted unless urgent'],True,False,True,False,True,no_evaluable_shortcut,A quiet update avoids interruption.
98,I am sending a defective tablet return.,0,[1],['RMA label'],medium,True,True,False,,,"[2, 3]","[2, 3]",['be stuck to the tablet box before staff scan the package'],True,False,True,False,False,neither,The shipping label must be on the package before scanning.
99,The maintenance office is across the yard.,4,[4],['The maintenance office is across the yard'],high,True,True,True,and trying the blank in the actual cap.,3,"[2, 3]","[2, 3]",['checking the mower serial plate and trying the blank in the actual cap'],True,True,True,True,True,both_strict,The serial plate and cap lock have to be checked on the mower.
100,,,[3],['pool card'],medium,True,True,False,while my RFID pool card must stay on,3,"[2, 3, 4]","[2, 3, 4]","['archive tray scans loose sheets', 'my RFID pool card must stay on my key ring']",True,True,True,True,False,constraint_only,The RFID card must remain usable.
101,Security is,1,[0],['The campus permit is paid for'],high,True,True,False,,,"[3, 4, 5]","[3, 4, 5]",['pairs the plate camera and the windshield tag during one pass'],True,False,True,False,True,neither,Both plate and tag are read from the car.
102,tablet stand.,1,[5],['original receipt'],medium,True,True,False,while the replacement warranty file asks me,4,"[2, 3, 4, 5]","[2, 3, 4, 5]","['stores a scan and returns no paper', 'the replacement warranty file asks me to keep the original receipt']",True,True,True,True,False,constraint_only,The scan target only needs a copy while the warranty target needs the original.
103,,,[0],['The snowmobile binding complaint is filed'],medium,True,True,False,to watch the track as the machine exits,2,"[2, 3, 4]","[2, 3, 4]",['watch the track as the machine exits a slow U-turn under throttle'],True,True,True,True,True,constraint_only,The track behavior must be observed on the snowmobile.
104,,,[0],['The RV slide-out campaign applies'],medium,True,True,False,The service tech is at the bay door,1,"[2, 3, 4]","[2, 3, 4]",['scan the module sticker inside the compartment and verify the VIN plate'],True,False,True,False,True,neither,The module sticker and VIN are on the RV.
105,,,[0],['The floor-scrubber vibration note is in the system'],medium,True,True,False,to watch the brush chatter,2,"[2, 3]","[2, 3]",['watch the brush chatter while it moves'],True,True,True,True,True,constraint_only,The chatter occurs while the scrubber moves.
106,,,[4],['original ride voucher'],medium,True,True,False,Payroll accepts scanned proof,2,"[2, 3, 4]","[2, 3, 4]","['accepts scanned proof', ""the shuttle operator's refund window requires the original ride voucher""]",True,True,True,True,False,constraint_only,The original should be saved for the refund window.
107,,,[0],['The department laptop-dock issue is logged'],high,True,True,False,The department laptop-dock issue is logged.,0,"[2, 3, 4]","[2, 3, 4]",['plug my laptop into the dock and test both monitors'],True,False,True,False,True,neither,The dock test requires the laptop.
108,,,[0],['The warehouse reach-truck safety check is next'],medium,True,True,False,The warehouse reach-truck safety check is next.,0,"[2, 3]","[2, 3]",['test the horn and tilt alarm on the machine'],True,False,True,False,True,neither,The horn and tilt alarm are on the reach truck.
109,while the coat is on me.,3,[0],['The alteration ticket is written'],medium,True,True,False,to pin the coat sleeves,2,"[2, 3]","[2, 3]",['pin the coat sleeves while the coat is on me'],True,True,True,True,True,constraint_only,The sleeves must be pinned on the coat.
110,,,[0],['The keyboard support case is logged'],high,True,True,False,,,"[2, 3]","[2, 3]",['plug in my sustain pedal and test polarity'],True,False,True,False,True,neither,The polarity issue is in the pedal.
111,The valet podium is near the lobby.,5,[],[],none,False,False,,The hotel valet bike cage gives e-bike charging access only,0,"[1, 2, 3, 4]","[1, 2, 3, 4]",['the attendant scans the small sticker on the frame and pairs it with a locker'],True,False,True,False,True,no_evaluable_shortcut,Access requires scanning the sticker on the e-bike frame.
112,,,[0],['The snowmobile cold-clunk complaint is scheduled'],high,True,True,False,,,"[1, 2, 3]","[1, 2, 3]",['the machine in the early bay to hear the first shift into drive'],True,False,True,False,True,neither,The clunk occurs on the snowmobile during cold shift.
113,,,[0],['The enclosed-trailer checkout is ready'],high,True,True,False,beside the tester,2,[3],[3],['check that the breakaway battery powers the brakes'],True,False,True,False,True,neither,The brake battery is in the trailer system.
114,,,"[2, 3]",['original boarding stub'],medium,True,True,False,I am documenting a ferry delay for payroll clerk.,0,"[1, 2, 3]","[1, 2, 3]","['scans proof pages', 'the ferry counter requires the original boarding stub for the refund']",True,False,True,False,False,neither,"The office needs a scan, and the refund office needs the original."
115,,,[],[],none,False,False,,The frame shop needs a scanner read,1,"[1, 2, 3]","[1, 2, 3]",['The frame shop needs a scanner read from the scratched welded down tube before mixing paint'],True,True,True,True,True,constraint_only,The welded frame tube must be scanned.
116,I am updating my pool account.,0,[3],['pool card'],medium,True,True,False,my key ring.,4,"[1, 2, 3, 4]","[1, 2, 3, 4]","['scans paper proof and discards it', 'the pool card must remain active on my key ring']",True,True,True,True,False,constraint_only,The archive needs paper proof while the working credential must stay available.
117,The shop counter is a short walk away.,4,[4],['The shop counter is a short walk away'],high,True,True,True,The campground shop can cut a key for,0,"[0, 1, 2, 3]","[0, 1, 2, 3]","[""The campground shop can cut a key for my rented golf cart's storage box after reading the cart plate and trying the blank in the box latch""]",True,True,True,True,True,both_strict,The cart plate and actual latch must be used to cut/test the key.
