id,n_spans,L_original,pred_shortcut_span,pred_shortcut_delta,pred_shortcut_selection_reason,pred_constraint_span,pred_constraint_delta,pred_constraint_selection_reason,pred_shortcut_index,gold_shortcut_indices,shortcut_confidence,shortcut_eligible,shortcut_strict_hit,pred_constraint_index,gold_constraint_indices,gold_constraint_proposition_indices,constraint_strict_hit,constraint_proposition_hit,candidate_level_safe,cue_identification_status,prediction_original,true_hallucination,shortcut_deleted_prediction,shortcut_deleted_flips,shortcut_deleted_role_flip_direction,constraint_deleted_prediction,constraint_deleted_flips,constraint_deleted_role_flip_direction,hallucination_detected,hallucination_detection_observable,hallucination_detection_correct,hallucination_detected_directional,hallucination_directional_correct
11,4,-18.04687480638735,,,,to photograph the bumper dent,13.406249743988738,delta_threshold,,[0],high,True,False,2,"[2, 3]","[2, 3]",True,True,True,constraint_only,1,False,,,,1,False,no_flip,False,False,True,False,True
12,3,-3.713572066704308,The hall sticker must be on the support bag,-14.489552933295691,delta_threshold,,,,1,[1],medium,True,True,,"[1, 2]","[1, 2]",False,False,False,shortcut_only,2,False,2,False,no_flip,,,,False,False,True,False,True
13,3,-18.43749980638735,,,,The collection label must be on the folder tab,4.312499642254025,delta_threshold,,[1],medium,True,False,1,"[1, 2]","[1, 2]",True,True,False,constraint_only,1,False,,,,1,False,no_flip,False,False,True,False,True
14,4,-14.367187664043342,,,,to decode the lock,13.804687723647987,delta_threshold,,[0],medium,True,False,2,"[2, 3]","[2, 3]",True,True,True,constraint_only,1,False,,,,1,False,no_flip,False,False,True,False,True
15,5,-7.40625012665987,and discards it,-4.382812180087967,delta_threshold,while the mirror pass must remain active hanging,3.8906252160668373,delta_threshold,2,"[3, 4]",medium,True,False,3,"[1, 2, 3, 4]","[1, 2, 3, 4]",True,True,False,constraint_only,1,False,1,False,no_flip,1,False,no_flip,False,True,True,False,True
16,4,-16.31054632377635,,,,while the rebate envelope needs the original.,20.91992140293877,directional_flip,,[3],medium,True,False,3,"[2, 3]","[2, 3]",True,True,False,constraint_only,1,False,,,,2,True,correct_to_shortcut,False,False,True,False,True
17,3,-11.757812068340172,,,,The horse trailer's marker-light complaint is written up.,8.42968704971372,delta_threshold,,[0],medium,True,False,0,[2],"[1, 2]",False,False,True,neither,1,False,,,,1,False,no_flip,False,False,True,False,True
18,9,0.8593749701976776,The service desk is easy,-8.812500205793185,directional_flip,from the boat display.,4.1250002034939826,shortcut_stability,6,"[6, 7, 8]",high,True,True,5,"[3, 4, 5]","[2, 3, 4, 5]",True,True,False,both_strict,1,True,2,True,shortcut_to_correct,1,False,no_flip,True,True,True,True,True
19,5,-10.70312492667108,,,,The equipment tech is at intake,3.9531248706753104,delta_threshold,,[0],medium,True,False,1,"[2, 3, 4]","[2, 3, 4]",False,False,False,neither,1,False,,,,1,False,no_flip,False,False,True,False,True
20,7,3.1250000670552254,The service office is at the front.,-9.49999993876554,directional_flip,inside the bay,10.101562477829475,shortcut_stability,6,[6],high,True,True,3,"[2, 4, 5]","[2, 3, 4, 5]",False,True,True,shortcut_only,2,True,1,True,shortcut_to_correct,2,False,no_flip,True,True,True,True,True
21,4,-3.3906249180436134,The lane technician is standing at the test antenna,-13.601562581956387,delta_threshold,to read my windshield transponder,4.484374918043613,directional_flip,1,[0],medium,True,False,2,"[2, 3]","[2, 3]",True,True,True,constraint_only,1,False,1,False,no_flip,2,True,correct_to_shortcut,False,True,True,False,True
22,4,-3.713572066704308,before staff scan it.,-21.67632051142069,delta_threshold,,,,3,[2],medium,True,False,,"[2, 3]","[2, 3]",False,False,False,neither,2,False,2,False,no_flip,,,,False,False,True,False,True
23,5,-24.3717041015625,,,,front counter.,29.44982926081866,directional_flip,,[2],medium,True,False,1,"[3, 4]","[3, 4]",False,False,True,neither,2,False,,,,1,True,correct_to_shortcut,False,False,True,False,True
24,4,-3.713572066704308,,,,,,,,[1],medium,True,False,,"[1, 2, 3]","[1, 2, 3]",False,False,False,neither,2,False,,,,,,,False,False,True,False,True
25,4,-18.828125,,,,I am returning a refrigerated diagnostic kit.,15.114552933295691,delta_threshold,,[3],medium,True,False,0,"[1, 2, 3]","[1, 2, 3]",False,False,False,neither,1,False,,,,1,False,no_flip,False,False,True,False,True
26,4,-3.713572066704308,The rebate form is filled out.,-19.80986543329569,delta_threshold,,,,0,[],none,False,,,"[2, 3]","[1, 2, 3]",False,False,True,no_evaluable_shortcut,2,False,2,False,no_flip,,,,False,False,True,False,True
27,4,-9.031249812054739,beside the scratch on my boat hull.,-7.398437375128935,delta_threshold,The repair quote is approved.,3.6874999638603185,delta_threshold,3,[0],medium,True,False,0,"[2, 3]","[2, 3]",False,False,True,neither,1,False,1,False,no_flip,1,False,no_flip,False,True,True,False,True
28,7,0.5625,The contract counter is at the front office.,-4.734374867752194,directional_flip,but they release it only,0.4375000596046448,shortcut_stability,6,[6],high,True,True,2,"[2, 3, 4, 5]","[2, 3, 4, 5]",True,True,False,both_strict,2,True,1,True,shortcut_to_correct,2,False,no_flip,True,True,True,True,True
29,4,-14.304687664043342,The recovery report is filled out.,-5.0585935859566575,delta_threshold,to confirm the VIN on my dirt bike,12.32031275345031,delta_threshold,0,[0],medium,True,True,2,"[2, 3]","[2, 3]",True,True,True,both_strict,2,False,2,False,no_flip,2,False,no_flip,False,True,True,False,True
30,4,-21.86328125,,,,The barcode tag must wrap around the pole,18.14970918329569,delta_threshold,,[2],medium,True,False,2,"[2, 3]","[2, 3]",True,True,False,constraint_only,2,False,,,,2,False,no_flip,False,False,True,False,True
31,5,-3.5312501192092896,,,,to the trailer plate at the ramp lane.,5.7500001937150955,directional_flip,,[4],high,True,False,3,"[2, 3]","[2, 3]",True,True,True,constraint_only,1,False,,,,2,True,correct_to_shortcut,False,False,True,False,True
32,5,-4.125000234693289,,,,but the clerk said the reader has,4.296875234693289,directional_flip,,"[0, 1]",medium,True,False,2,"[3, 4]","[3, 4]",False,False,True,neither,1,False,,,,2,True,correct_to_shortcut,False,False,True,False,True
33,4,-3.713572066704308,I am checking in a display light stand.,-22.70049043329569,delta_threshold,,,,0,[1],medium,True,False,,"[2, 3]","[2, 3]",False,False,False,neither,2,False,2,False,no_flip,,,,False,False,True,False,True
34,3,-19.71142558763735,,,,I am returning a museum pass pouch.,15.997853520933042,delta_threshold,,[1],medium,True,False,0,"[1, 2]","[1, 2]",False,False,False,neither,1,False,,,,1,False,no_flip,False,False,True,False,True
35,4,-16.531249687183674,,,,I am checking in a portable lectern.,12.843749711398061,delta_threshold,,[1],medium,True,False,0,"[2, 3]","[2, 3]",False,False,False,neither,1,False,,,,1,False,no_flip,False,False,True,False,True
36,4,-8.749999705745722,,,,I am documenting a train cancellation for payroll.,16.406249875566573,directional_flip,,"[2, 3]",medium,True,False,0,"[1, 2, 3]","[1, 2, 3]",False,False,False,neither,1,False,,,,2,True,correct_to_shortcut,False,False,True,False,True
37,5,-5.8437497690320015,,,,while the suite badge must remain active on,5.5624997690320015,delta_threshold,,[3],medium,True,False,3,"[1, 2, 3, 4]","[1, 2, 3, 4]",True,True,False,constraint_only,1,False,,,,1,False,no_flip,False,False,True,False,True
38,4,-3.713572066704308,The loader is at the rear dock,-18.19267773968304,delta_threshold,,,,1,[],none,False,,,"[2, 3]","[2, 3]",False,False,True,no_evaluable_shortcut,1,False,1,False,no_flip,,,,False,False,True,False,True
39,4,-24.92626953125,,,,The reclaimed boards are approved for pickup.,21.21269746454569,delta_threshold,,[0],high,True,False,0,"[2, 3]","[2, 3]",False,False,True,neither,2,False,,,,2,False,no_flip,False,False,True,False,True
40,6,-15.171875283247005,,,,to keep the original receipt.,17.171875298148166,directional_flip,,[5],medium,True,False,5,"[2, 3, 4, 5]","[2, 3, 4, 5]",True,True,False,constraint_only,1,False,,,,2,True,correct_to_shortcut,False,False,True,False,True
41,4,-3.713572066704308,and thread new lace through it.,-18.00810762079569,delta_threshold,,,,3,[0],high,True,False,,"[2, 3]","[2, 3]",False,False,True,neither,1,False,1,False,no_flip,,,,False,False,True,False,True
42,5,-7.437499879975803,The mechanic is at the aisle,-12.781250120024197,delta_threshold,,,,1,[0],high,True,False,,"[2, 3, 4]","[2, 3, 4]",False,False,True,neither,2,False,2,False,no_flip,,,,False,False,True,False,True
43,4,-7.2499998435378075,,,,The marina mechanic is at the dock,8.640624828636646,directional_flip,,[0],high,True,False,1,"[2, 3]","[2, 3]",False,False,True,neither,1,False,,,,2,True,correct_to_shortcut,False,False,True,False,True
44,8,8.359375312618795,Their office is a short walk,-12.734375430896762,directional_flip,and sticker on the car.,3.7499998516495907,shortcut_stability,6,"[6, 7]",high,True,True,5,"[4, 5]","[4, 5]",True,True,True,both_strict,2,True,1,True,shortcut_to_correct,2,False,no_flip,True,True,True,True,True
45,4,-3.713572066704308,,,,The payroll clerk scans proof pages,10.776072034515472,directional_flip,,"[2, 3]",medium,True,False,1,"[1, 2, 3]","[1, 2, 3]",True,True,False,constraint_only,2,False,,,,1,True,correct_to_shortcut,False,False,True,False,True
46,6,-7.234374847728759,,,,The airport baggage cart bounces,14.718749954074156,directional_flip,,[5],high,True,False,0,"[3, 4]","[3, 4]",False,False,True,neither,2,False,,,,1,True,correct_to_shortcut,False,False,True,False,True
47,5,-0.9062499701976776,and discards it,-7.91406246983388,delta_threshold,,,,2,[3],medium,True,False,,"[1, 2, 3, 4]","[1, 2, 3, 4]",False,False,False,neither,1,False,1,False,no_flip,,,,False,False,True,False,True
48,3,-21.33740234375,,,,The department says signed paper cards must be,18.36865223944187,delta_threshold,,[],none,False,,1,[2],[2],False,False,True,no_evaluable_shortcut,1,False,,,,1,False,no_flip,False,False,True,False,True
49,5,-7.49218760227086,,,,,,,,[0],high,True,False,,"[2, 3, 4]","[2, 3, 4]",False,False,True,neither,1,False,,,,,,,False,False,True,False,True
50,4,-3.713572066704308,to the board,-20.41142793329569,delta_threshold,,,,2,[1],medium,True,False,,"[2, 3]","[2, 3]",False,False,False,neither,2,False,2,False,no_flip,,,,False,False,True,False,True
51,5,-22.2578125,,,,The assembled basketball hoop base is ready.,17.914062644355,delta_threshold,,[0],high,True,False,0,"[2, 3, 4]","[2, 3, 4]",False,False,True,neither,2,False,,,,2,False,no_flip,False,False,True,False,True
52,4,-9.703124690066034,,,,and note the odometer at intake.,11.046874719868356,directional_flip,,[3],high,True,False,2,"[1, 2]","[1, 2]",True,True,True,constraint_only,1,False,,,,2,True,correct_to_shortcut,False,False,True,False,True
53,5,-20.970703125,,,,to load it straight,17.50195320136845,delta_threshold,,[0],high,True,False,2,"[2, 3, 4]","[2, 3, 4]",True,True,True,constraint_only,2,False,,,,2,False,no_flip,False,False,True,False,True
54,6,-14.250000283247005,,,,while the motor warranty packet asks me,13.906250283247005,delta_threshold,,[5],medium,True,False,4,"[2, 3, 4, 5]","[2, 3, 4, 5]",True,True,False,constraint_only,2,False,,,,2,False,no_flip,False,False,True,False,True
55,4,-16.990235015902954,,,,with the tenant-support clerk.,27.880860061597787,directional_flip,,[3],medium,True,False,1,"[2, 3]","[2, 3]",False,False,False,neither,1,False,,,,2,True,correct_to_shortcut,False,False,True,False,True
56,4,-1.0312500596046448,while the rebate form asks for the original receipt.,-9.406249986584953,delta_threshold,to my building file.,6.328125172760338,directional_flip,3,[3],medium,True,True,1,"[2, 3]","[2, 3]",False,False,False,shortcut_only,2,False,2,False,no_flip,1,True,correct_to_shortcut,False,True,True,False,True
57,6,-16.74999980638735,,,,to scan the hull number,27.64062520969368,directional_flip,,[5],high,True,False,2,"[2, 3, 4]","[2, 3, 4]",True,True,True,constraint_only,1,False,,,,2,True,correct_to_shortcut,False,False,True,False,True
58,3,-3.713572066704308,The manager says the door logs entries only,-24.78252168329569,delta_threshold,,,,1,[],none,False,,,"[0, 1, 2]","[0, 1, 2]",False,False,True,no_evaluable_shortcut,2,False,2,False,no_flip,,,,False,False,True,False,True
59,7,-11.734375402810656,,,,and the shop wants,12.453125343206011,directional_flip,,"[5, 6]",high,True,False,1,"[2, 3, 4]","[2, 3, 4]",False,False,True,neither,1,False,,,,2,True,correct_to_shortcut,False,False,True,False,True
60,5,2.7031249031424522,,,,The technician is at the service slip,3.781250072992407,shortcut_stability,,[0],medium,True,False,1,"[2, 3, 4]","[2, 3, 4]",False,False,True,neither,1,True,,,,1,False,no_flip,False,False,False,False,False
61,4,-3.713572066704308,,,,,,,,[],none,False,,,[3],[3],False,False,True,no_evaluable_shortcut,1,False,,,,,,,False,False,True,False,True
62,4,-3.713572066704308,to the back,-20.60283418329569,delta_threshold,,,,2,[1],medium,True,False,,"[2, 3]","[2, 3]",False,False,False,neither,2,False,2,False,no_flip,,,,False,False,True,False,True
63,4,-6.77343752537854,,,,The confirmation is done at the drive-through guard post.,16.929687452815415,directional_flip,,[],none,False,,3,"[1, 2]","[1, 2]",False,False,True,no_evaluable_shortcut,1,False,,,,2,True,correct_to_shortcut,False,False,True,False,True
64,5,-4.265624896623194,,,,The snowmobile warranty claim is accepted.,9.765624883584678,directional_flip,,[0],high,True,False,0,"[2, 3, 4]","[2, 3, 4]",False,False,True,neither,1,False,,,,2,True,correct_to_shortcut,False,False,True,False,True
65,4,-10.60937492676203,,,,The rep is waiting by the gate,19.406249751673386,directional_flip,,[],none,False,,1,"[2, 3]","[2, 3]",False,False,True,no_evaluable_shortcut,2,False,,,,1,True,correct_to_shortcut,False,False,True,False,True
66,5,-6.296875127474777,,,,The parking office says my moped citation can,13.765625233994797,directional_flip,,[3],high,True,False,0,"[1, 2]","[1, 2]",False,False,True,neither,1,False,,,,2,True,correct_to_shortcut,False,False,True,False,True
67,4,-7.437500118510798,,,,The battery-test request is written.,11.45312490616925,directional_flip,,[0],medium,True,False,0,"[2, 3]","[2, 3]",False,False,True,neither,2,False,,,,1,True,correct_to_shortcut,False,False,True,False,True
68,4,-2.6875000596046448,,,,The skateboard vibration ticket is open.,6.156250001862645,directional_flip,,[0],high,True,False,0,"[2, 3]","[2, 3]",False,False,True,neither,2,False,,,,1,True,correct_to_shortcut,False,False,True,False,True
69,7,-6.125000229571015,,,,to scan the faded gelcoat,10.375000110361725,directional_flip,,[6],high,True,False,3,"[3, 4, 5]","[3, 4, 5]",True,True,True,constraint_only,2,False,,,,1,True,correct_to_shortcut,False,False,True,False,True
70,4,-3.713572066704308,I am checking in a microscope slide.,-17.49931855829569,delta_threshold,,,,0,[1],medium,True,False,,"[1, 2, 3]","[1, 2, 3]",False,False,False,neither,1,False,1,False,no_flip,,,,False,False,True,False,True
71,4,-0.515625,,,,prop is backstage left.,14.73437504483968,directional_flip,,[],none,False,,2,[3],[3],False,False,True,no_evaluable_shortcut,1,False,,,,2,True,correct_to_shortcut,False,False,True,False,True
72,4,-3.713572066704308,before staff scan the package.,-18.15312715204569,delta_threshold,,,,3,[1],medium,True,False,,"[2, 3]","[2, 3]",False,False,False,neither,1,False,1,False,no_flip,,,,False,False,True,False,True
73,4,-3.713572066704308,rope tag is on the case.,-20.92705293329569,delta_threshold,,,,2,[],none,False,,,[3],[3],False,False,True,no_evaluable_shortcut,2,False,2,False,no_flip,,,,False,False,True,False,True
74,4,-3.713572066704308,The inspector is at the roller pad,-18.84111543329569,delta_threshold,,,,1,[0],high,True,False,,"[2, 3]","[2, 3]",False,False,True,neither,2,False,2,False,no_flip,,,,False,False,True,False,True
75,5,16.02343730638735,my camper,-12.309865239683042,delta_threshold,rack that was reported yesterday.,2.3828126936126495,shortcut_stability,1,[4],high,True,False,3,"[2, 3]","[2, 3]",True,True,True,constraint_only,2,True,2,False,no_flip,2,False,no_flip,False,True,False,False,False
76,3,-15.046874567980012,,,,,,,,[0],high,True,False,,[2],[2],False,False,True,neither,1,False,,,,,,,False,False,True,False,True
77,4,0.6093749701976776,The generator-trailer return is logged.,-1.625,directional_flip,Yard staff are at the test pad,8.156249616251444,shortcut_stability,0,[0],high,True,True,1,"[2, 3]","[2, 3]",False,False,True,shortcut_only,1,True,2,True,shortcut_to_correct,1,False,no_flip,True,True,True,True,True
78,5,-1.4374999701976776,,,,to read the hull number on my boat's stern,5.062499927356839,directional_flip,,[0],high,True,False,2,"[2, 3, 4]","[2, 3, 4]",True,True,True,constraint_only,2,False,,,,1,True,correct_to_shortcut,False,False,True,False,True
79,4,-2.1249999925494194,,,,The utility-trailer ticket can be removed only if,6.812500144354999,directional_flip,,[3],high,True,False,0,"[1, 2]","[1, 2]",False,False,True,neither,2,False,,,,1,True,correct_to_shortcut,False,False,True,False,True
80,3,-18.59375,,,,The manager scans paper proof and discards it,17.796874940395355,delta_threshold,,[2],medium,True,False,1,"[1, 2]","[1, 2]",True,True,False,constraint_only,2,False,,,,2,False,no_flip,False,False,True,False,True
81,4,-3.921874988824129,,,,to watch the wheel bracket,14.140624677718733,directional_flip,,[0],medium,True,False,2,"[2, 3]","[2, 3]",True,True,True,constraint_only,1,False,,,,2,True,correct_to_shortcut,False,False,True,False,True
82,4,0.6249999701976776,The electric motorcycle warning note is entered.,-7.92187490942888,directional_flip,The service writer is in the bay,7.734374865700374,shortcut_stability,0,[0],medium,True,True,1,"[2, 3]","[2, 3]",False,False,True,shortcut_only,1,True,2,True,shortcut_to_correct,1,False,no_flip,True,True,True,True,True
83,4,-12.476562306567303,,,,The apartment scooter-space permit is approved.,13.773437336369625,directional_flip,,[0],high,True,False,0,"[2, 3]","[2, 3]",False,False,True,neither,2,False,,,,1,True,correct_to_shortcut,False,False,True,False,True
84,3,-23.4580078125,,,,I am wiping a bench with solvent wipes.,19.74443574579569,delta_threshold,,[],none,False,,0,"[1, 2]","[1, 2]",False,False,True,no_evaluable_shortcut,2,False,,,,2,False,no_flip,False,False,True,False,True
85,5,-13.328125402540763,,,,I am handing a vacuum receipt,17.8906255608656,directional_flip,,[0],medium,True,False,0,"[2, 3, 4]","[2, 3, 4]",False,False,False,neither,2,False,,,,1,True,correct_to_shortcut,False,False,True,False,True
86,5,-11.203124687814125,,,,to record the cart ID,12.109374658011802,directional_flip,,[0],high,True,False,2,"[2, 3, 4]","[2, 3, 4]",True,True,True,constraint_only,2,False,,,,1,True,correct_to_shortcut,False,False,True,False,True
87,5,-6.296874889172614,,,,The scooter paint blend is set up.,3.8125000009313226,delta_threshold,,[0],medium,True,False,0,"[2, 3, 4]","[2, 3, 4]",False,False,True,neither,1,False,,,,1,False,no_flip,False,False,True,False,True
88,4,-16.703125,,,,with the building clerk.,26.289062428877514,directional_flip,,[3],medium,True,False,1,"[2, 3]","[2, 3]",False,False,False,neither,2,False,,,,1,True,correct_to_shortcut,False,False,True,False,True
89,6,-4.609374833293259,,,,The warehouse forklift sometimes powers up only,5.374999803490937,directional_flip,,[],none,False,,0,"[1, 3, 4, 5]","[1, 3, 4, 5]",False,False,True,no_evaluable_shortcut,2,False,,,,1,True,correct_to_shortcut,False,False,True,False,True
90,5,-0.5468749701976776,and discards it,-7.546874656225555,delta_threshold,while the frame sticker must remain active on,1.1249999403953552,directional_flip,2,[3],medium,True,False,3,"[1, 2, 3, 4]","[1, 2, 3, 4]",True,True,False,constraint_only,1,False,1,False,no_flip,2,True,correct_to_shortcut,False,True,True,False,True
91,9,1.6250000149011612,,,,from the stern,7.156249928942998,shortcut_stability,,"[7, 8]",high,True,False,4,"[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",True,True,True,constraint_only,2,True,,,,2,False,no_flip,False,False,False,False,False
92,5,-17.1171875,,,,to tell the auction clerk that the extra,8.804687175841536,delta_threshold,,[],none,False,,1,[4],[4],False,False,True,no_evaluable_shortcut,1,False,,,,1,False,no_flip,False,False,True,False,True
93,4,-23.5859375,,,,I am returning a study-room key.,19.87236543329569,delta_threshold,,[1],medium,True,False,0,"[2, 3]","[2, 3]",False,False,False,neither,2,False,,,,2,False,no_flip,False,False,True,False,True
94,5,-8.351562335941708,,,,while the taxi company requires the original printed,20.718750119368906,directional_flip,,[4],medium,True,False,3,"[2, 3, 4]","[2, 3, 4]",True,True,False,constraint_only,1,False,,,,2,True,correct_to_shortcut,False,False,True,False,True
95,4,5.984375192085281,The showroom entrance is right where I am parked.,-8.140625110128894,directional_flip,and record the hour meter at check-in.,0.4687499487772584,shortcut_stability,3,[3],high,True,True,2,"[1, 2]","[1, 2]",True,True,True,both_strict,1,True,2,True,shortcut_to_correct,1,False,no_flip,True,True,True,True,True
96,5,1.3593749701976776,The forklift driver is at the loading stripe,-11.75781203970837,directional_flip,onto the truck bed,10.28906281345462,shortcut_stability,1,[0],high,True,False,3,"[2, 3, 4]","[2, 3, 4]",True,True,True,constraint_only,2,True,1,True,shortcut_to_correct,2,False,no_flip,True,True,True,True,True
97,6,-3.713572066704308,unless urgent.,-19.85869355829569,delta_threshold,,,,5,[],none,False,,,"[2, 3, 4, 5]","[2, 3, 4, 5]",False,False,True,no_evaluable_shortcut,2,False,2,False,no_flip,,,,False,False,True,False,True
98,4,-3.713572066704308,I am sending a defective tablet return.,-21.22002168329569,delta_threshold,,,,0,[1],medium,True,False,,"[2, 3]","[2, 3]",False,False,False,neither,2,False,2,False,no_flip,,,,False,False,True,False,True
99,5,7.749999795516487,The maintenance office is across the yard.,-8.281249795516487,directional_flip,and trying the blank in the actual cap.,3.671875488225851,shortcut_stability,4,[4],high,True,True,3,"[2, 3]","[2, 3]",True,True,True,both_strict,2,True,1,True,shortcut_to_correct,2,False,no_flip,True,True,True,True,True
100,5,-20.15234375,,,,while my RFID pool card must stay on,13.49609390704427,delta_threshold,,[3],medium,True,False,3,"[2, 3, 4]","[2, 3, 4]",True,True,False,constraint_only,2,False,,,,2,False,no_flip,False,False,True,False,True
101,6,-8.359374597392161,Security is,-8.69140645899519,delta_threshold,,,,1,[0],high,True,False,,"[3, 4, 5]","[3, 4, 5]",False,False,True,neither,1,False,1,False,no_flip,,,,False,False,True,False,True
102,6,-8.968750296568032,tablet stand.,-14.027343453431968,delta_threshold,while the replacement warranty file asks me,9.968750356172677,directional_flip,1,[5],medium,True,False,4,"[2, 3, 4, 5]","[2, 3, 4, 5]",True,True,False,constraint_only,2,False,2,False,no_flip,1,True,correct_to_shortcut,False,True,True,False,True
103,5,-20.46875,,,,to watch the track as the machine exits,19.515625,delta_threshold,,[0],medium,True,False,2,"[2, 3, 4]","[2, 3, 4]",True,True,True,constraint_only,2,False,,,,2,False,no_flip,False,False,True,False,True
104,5,-14.367187783247005,,,,The service tech is at the bay door,10.101562690114747,delta_threshold,,[0],medium,True,False,1,"[2, 3, 4]","[2, 3, 4]",False,False,True,neither,1,False,,,,1,False,no_flip,False,False,True,False,True
105,4,-18.5,,,,to watch the brush chatter,23.906249930150807,directional_flip,,[0],medium,True,False,2,"[2, 3]","[2, 3]",True,True,True,constraint_only,2,False,,,,1,True,correct_to_shortcut,False,False,True,False,True
106,5,-21.3359375,,,,Payroll accepts scanned proof,18.695312529802322,delta_threshold,,[4],medium,True,False,2,"[2, 3, 4]","[2, 3, 4]",True,True,False,constraint_only,2,False,,,,2,False,no_flip,False,False,True,False,True
107,5,-19.95410136888735,,,,The department laptop-dock issue is logged.,16.24052930218304,delta_threshold,,[0],high,True,False,0,"[2, 3, 4]","[2, 3, 4]",False,False,True,neither,1,False,,,,1,False,no_flip,False,False,True,False,True
108,4,-8.710937802039552,,,,The warehouse reach-truck safety check is next.,8.976562802039552,directional_flip,,[0],medium,True,False,0,"[2, 3]","[2, 3]",False,False,True,neither,1,False,,,,2,True,correct_to_shortcut,False,False,True,False,True
109,4,-18.30859355638735,while the coat is on me.,-2.8681640625,delta_threshold,to pin the coat sleeves,10.777343346839771,delta_threshold,3,[0],medium,True,False,2,"[2, 3]","[2, 3]",True,True,True,constraint_only,1,False,1,False,no_flip,1,False,no_flip,False,True,True,False,True
110,4,-22.69921875,,,,,,,,[0],high,True,False,,"[2, 3]","[2, 3]",False,False,True,neither,2,False,,,,,,,False,False,True,False,True
111,6,-6.437500182306394,The valet podium is near the lobby.,-14.679687317693606,delta_threshold,The hotel valet bike cage gives e-bike charging access only,9.109375107800588,directional_flip,5,[],none,False,,0,"[1, 2, 3, 4]","[1, 2, 3, 4]",False,False,True,no_evaluable_shortcut,2,False,2,False,no_flip,1,True,correct_to_shortcut,False,True,True,False,True
112,4,-15.57812480638735,,,,,,,,[0],high,True,False,,"[1, 2, 3]","[1, 2, 3]",False,False,True,neither,2,False,,,,,,,False,False,True,False,True
113,4,-9.492187309988367,,,,beside the tester,5.085937309988367,delta_threshold,,[0],high,True,False,2,[3],[3],False,False,True,neither,1,False,,,,1,False,no_flip,False,False,True,False,True
114,4,-15.656249687183674,,,,I am documenting a ferry delay for payroll clerk.,30.08593747043068,directional_flip,,"[2, 3]",medium,True,False,0,"[1, 2, 3]","[1, 2, 3]",False,False,False,neither,1,False,,,,2,True,correct_to_shortcut,False,False,True,False,True
115,4,-19.6171875,,,,The frame shop needs a scanner read,14.195312534924597,delta_threshold,,[],none,False,,1,"[1, 2, 3]","[1, 2, 3]",True,True,True,constraint_only,2,False,,,,2,False,no_flip,False,False,True,False,True
