id,correct_option,shortcut_option,prediction_original,true_hallucination,pred_shortcut_span,shortcut_deleted_prediction,shortcut_deleted_flips,shortcut_deleted_role_flip_direction,pred_constraint_span,constraint_deleted_prediction,constraint_deleted_flips,constraint_deleted_role_flip_direction,hallucination_detected,hallucination_detection_observable,hallucination_detection_correct,hallucination_detected_directional,hallucination_directional_correct
31,1,2,1,False,,,,,to the trailer plate at the ramp lane.,2,True,correct_to_shortcut,False,False,True,False,True
32,1,2,1,False,,,,,but the clerk said the reader has,2,True,correct_to_shortcut,False,False,True,False,True
33,2,1,2,False,I am checking in a display light stand.,2,False,no_flip,,,,,False,False,True,False,True
34,1,2,1,False,,,,,I am returning a museum pass pouch.,1,False,no_flip,False,False,True,False,True
35,1,2,1,False,,,,,I am checking in a portable lectern.,1,False,no_flip,False,False,True,False,True
36,1,2,1,False,,,,,I am documenting a train cancellation for payroll.,2,True,correct_to_shortcut,False,False,True,False,True
37,1,2,1,False,,,,,while the suite badge must remain active on,1,False,no_flip,False,False,True,False,True
38,1,2,1,False,The loader is at the rear dock,1,False,no_flip,,,,,False,False,True,False,True
39,2,1,2,False,,,,,The reclaimed boards are approved for pickup.,2,False,no_flip,False,False,True,False,True
40,1,2,1,False,,,,,to keep the original receipt.,2,True,correct_to_shortcut,False,False,True,False,True
41,1,2,1,False,and thread new lace through it.,1,False,no_flip,,,,,False,False,True,False,True
42,2,1,2,False,The mechanic is at the aisle,2,False,no_flip,,,,,False,False,True,False,True
43,1,2,1,False,,,,,The marina mechanic is at the dock,2,True,correct_to_shortcut,False,False,True,False,True
44,1,2,2,True,Their office is a short walk,1,True,shortcut_to_correct,and sticker on the car.,2,False,no_flip,True,True,True,True,True
45,2,1,2,False,,,,,The payroll clerk scans proof pages,1,True,correct_to_shortcut,False,False,True,False,True
46,2,1,2,False,,,,,The airport baggage cart bounces,1,True,correct_to_shortcut,False,False,True,False,True
47,1,2,1,False,and discards it,1,False,no_flip,,,,,False,False,True,False,True
48,1,2,1,False,,,,,The department says signed paper cards must be,1,False,no_flip,False,False,True,False,True
49,1,2,1,False,,,,,,,,,False,False,True,False,True
50,2,1,2,False,to the board,2,False,no_flip,,,,,False,False,True,False,True
51,2,1,2,False,,,,,The assembled basketball hoop base is ready.,2,False,no_flip,False,False,True,False,True
52,1,2,1,False,,,,,and note the odometer at intake.,2,True,correct_to_shortcut,False,False,True,False,True
53,2,1,2,False,,,,,to load it straight,2,False,no_flip,False,False,True,False,True
54,2,1,2,False,,,,,while the motor warranty packet asks me,2,False,no_flip,False,False,True,False,True
55,1,2,1,False,,,,,with the tenant-support clerk.,2,True,correct_to_shortcut,False,False,True,False,True
56,2,1,2,False,while the rebate form asks for the original receipt.,2,False,no_flip,to my building file.,1,True,correct_to_shortcut,False,True,True,False,True
57,1,2,1,False,,,,,to scan the hull number,2,True,correct_to_shortcut,False,False,True,False,True
58,2,1,2,False,The manager says the door logs entries only,2,False,no_flip,,,,,False,False,True,False,True
59,1,2,1,False,,,,,and the shop wants,2,True,correct_to_shortcut,False,False,True,False,True
60,2,1,1,True,,,,,The technician is at the service slip,1,False,no_flip,False,False,False,False,False
61,1,2,1,False,,,,,,,,,False,False,True,False,True
62,2,1,2,False,to the back,2,False,no_flip,,,,,False,False,True,False,True
63,1,2,1,False,,,,,The confirmation is done at the drive-through guard post.,2,True,correct_to_shortcut,False,False,True,False,True
64,1,2,1,False,,,,,The snowmobile warranty claim is accepted.,2,True,correct_to_shortcut,False,False,True,False,True
65,2,1,2,False,,,,,The rep is waiting by the gate,1,True,correct_to_shortcut,False,False,True,False,True
66,1,2,1,False,,,,,The parking office says my moped citation can,2,True,correct_to_shortcut,False,False,True,False,True
67,2,1,2,False,,,,,The battery-test request is written.,1,True,correct_to_shortcut,False,False,True,False,True
68,2,1,2,False,,,,,The skateboard vibration ticket is open.,1,True,correct_to_shortcut,False,False,True,False,True
69,2,1,2,False,,,,,to scan the faded gelcoat,1,True,correct_to_shortcut,False,False,True,False,True
70,1,2,1,False,I am checking in a microscope slide.,1,False,no_flip,,,,,False,False,True,False,True
71,1,2,1,False,,,,,prop is backstage left.,2,True,correct_to_shortcut,False,False,True,False,True
72,1,2,1,False,before staff scan the package.,1,False,no_flip,,,,,False,False,True,False,True
73,2,1,2,False,rope tag is on the case.,2,False,no_flip,,,,,False,False,True,False,True
74,2,1,2,False,The inspector is at the roller pad,2,False,no_flip,,,,,False,False,True,False,True
75,1,2,2,True,my camper,2,False,no_flip,rack that was reported yesterday.,2,False,no_flip,False,True,False,False,False
76,1,2,1,False,,,,,,,,,False,False,True,False,True
77,2,1,1,True,The generator-trailer return is logged.,2,True,shortcut_to_correct,Yard staff are at the test pad,1,False,no_flip,True,True,True,True,True
78,2,1,2,False,,,,,to read the hull number on my boat's stern,1,True,correct_to_shortcut,False,False,True,False,True
79,2,1,2,False,,,,,The utility-trailer ticket can be removed only if,1,True,correct_to_shortcut,False,False,True,False,True
80,2,1,2,False,,,,,The manager scans paper proof and discards it,2,False,no_flip,False,False,True,False,True
81,1,2,1,False,,,,,to watch the wheel bracket,2,True,correct_to_shortcut,False,False,True,False,True
82,2,1,1,True,The electric motorcycle warning note is entered.,2,True,shortcut_to_correct,The service writer is in the bay,1,False,no_flip,True,True,True,True,True
83,2,1,2,False,,,,,The apartment scooter-space permit is approved.,1,True,correct_to_shortcut,False,False,True,False,True
84,2,1,2,False,,,,,I am wiping a bench with solvent wipes.,2,False,no_flip,False,False,True,False,True
85,2,1,2,False,,,,,I am handing a vacuum receipt,1,True,correct_to_shortcut,False,False,True,False,True
86,2,1,2,False,,,,,to record the cart ID,1,True,correct_to_shortcut,False,False,True,False,True
87,1,2,1,False,,,,,The scooter paint blend is set up.,1,False,no_flip,False,False,True,False,True
88,2,1,2,False,,,,,with the building clerk.,1,True,correct_to_shortcut,False,False,True,False,True
89,2,1,2,False,,,,,The warehouse forklift sometimes powers up only,1,True,correct_to_shortcut,False,False,True,False,True
90,1,2,1,False,and discards it,1,False,no_flip,while the frame sticker must remain active on,2,True,correct_to_shortcut,False,True,True,False,True
91,1,2,2,True,,,,,from the stern,2,False,no_flip,False,False,False,False,False
92,1,2,1,False,,,,,to tell the auction clerk that the extra,1,False,no_flip,False,False,True,False,True
93,2,1,2,False,,,,,I am returning a study-room key.,2,False,no_flip,False,False,True,False,True
94,1,2,1,False,,,,,while the taxi company requires the original printed,2,True,correct_to_shortcut,False,False,True,False,True
95,2,1,1,True,The showroom entrance is right where I am parked.,2,True,shortcut_to_correct,and record the hour meter at check-in.,1,False,no_flip,True,True,True,True,True
96,1,2,2,True,The forklift driver is at the loading stripe,1,True,shortcut_to_correct,onto the truck bed,2,False,no_flip,True,True,True,True,True
97,2,1,2,False,unless urgent.,2,False,no_flip,,,,,False,False,True,False,True
98,2,1,2,False,I am sending a defective tablet return.,2,False,no_flip,,,,,False,False,True,False,True
99,1,2,2,True,The maintenance office is across the yard.,1,True,shortcut_to_correct,and trying the blank in the actual cap.,2,False,no_flip,True,True,True,True,True
100,2,1,2,False,,,,,while my RFID pool card must stay on,2,False,no_flip,False,False,True,False,True
101,1,2,1,False,Security is,1,False,no_flip,,,,,False,False,True,False,True
102,2,1,2,False,tablet stand.,2,False,no_flip,while the replacement warranty file asks me,1,True,correct_to_shortcut,False,True,True,False,True
103,2,1,2,False,,,,,to watch the track as the machine exits,2,False,no_flip,False,False,True,False,True
104,1,2,1,False,,,,,The service tech is at the bay door,1,False,no_flip,False,False,True,False,True
105,2,1,2,False,,,,,to watch the brush chatter,1,True,correct_to_shortcut,False,False,True,False,True
106,2,1,2,False,,,,,Payroll accepts scanned proof,2,False,no_flip,False,False,True,False,True
107,1,2,1,False,,,,,The department laptop-dock issue is logged.,1,False,no_flip,False,False,True,False,True
108,1,2,1,False,,,,,The warehouse reach-truck safety check is next.,2,True,correct_to_shortcut,False,False,True,False,True
109,1,2,1,False,while the coat is on me.,1,False,no_flip,to pin the coat sleeves,1,False,no_flip,False,True,True,False,True
110,2,1,2,False,,,,,,,,,False,False,True,False,True
111,2,1,2,False,The valet podium is near the lobby.,2,False,no_flip,The hotel valet bike cage gives e-bike charging access only,1,True,correct_to_shortcut,False,True,True,False,True
112,2,1,2,False,,,,,,,,,False,False,True,False,True
113,1,2,1,False,,,,,beside the tester,1,False,no_flip,False,False,True,False,True
114,1,2,1,False,,,,,I am documenting a ferry delay for payroll clerk.,2,True,correct_to_shortcut,False,False,True,False,True
115,2,1,2,False,,,,,The frame shop needs a scanner read,2,False,no_flip,False,False,True,False,True
116,1,2,2,True,I am updating my pool account.,1,True,shortcut_to_correct,my key ring.,2,False,no_flip,True,True,True,True,True
117,1,2,2,True,The shop counter is a short walk away.,1,True,shortcut_to_correct,The campground shop can cut a key for,2,False,no_flip,True,True,True,True,True
118,2,1,2,False,under the antenna.,2,False,no_flip,,,,,False,False,True,False,True
119,1,2,1,False,the live sensor wake-up.,1,False,no_flip,to test the sensors from,2,True,correct_to_shortcut,False,True,True,False,True
120,2,1,2,False,and verifies the parking sensors wake up.,2,False,no_flip,,,,,False,False,True,False,True
121,1,2,1,False,to archive a whiteboard diagram,1,False,no_flip,,,,,False,False,True,False,True
122,1,2,2,True,,,,,The yard lead is at the return slot,2,False,no_flip,False,False,False,False,False
123,2,1,2,False,The boat sale paperwork is ready.,2,False,no_flip,The broker is at the dock gate,1,True,correct_to_shortcut,False,True,True,False,True
124,1,2,1,False,The cashier is in the front office.,1,False,no_flip,after seeing the load tied down in a,2,True,correct_to_shortcut,False,True,True,False,True
125,1,2,1,False,,,,,,,,,False,False,True,False,True
126,2,1,2,False,,,,,timekeeping office.,1,True,correct_to_shortcut,False,False,True,False,True
127,2,1,2,False,,,,,after facilities scans the frame tag on the,1,True,correct_to_shortcut,False,False,True,False,True
128,1,2,1,False,,,,,I am submitting proof of a delayed shuttle,1,False,no_flip,False,False,True,False,True
129,1,2,1,False,,,,,to fit the stretcher,1,False,no_flip,False,False,True,False,True
130,2,1,2,False,,,,,The office-chair order is pulled.,2,False,no_flip,False,False,True,False,True
131,2,1,1,True,,,,,until the attendant checks the loose spare-tire carrier,1,False,no_flip,False,False,False,False,False
132,2,1,1,True,The campground lets UTVs,2,True,shortcut_to_correct,after the gate attendant scans the current registration,1,False,no_flip,True,True,True,True,True
133,2,1,2,False,,,,,,,,,False,False,True,False,True
134,2,1,2,False,The food-truck logo proof is approved.,2,False,no_flip,,,,,False,False,True,False,True
135,2,1,2,False,,,,,while the station refund counter requires the original,1,True,correct_to_shortcut,False,False,True,False,True
136,1,2,1,False,,,,,to read the VIN on my boat trailer,2,True,correct_to_shortcut,False,False,True,False,True
137,2,1,2,False,,,,,I am documenting a parking-machine outage for department payroll.,1,True,correct_to_shortcut,False,False,True,False,True
138,2,1,2,False,,,,,before they mix paint.,1,True,correct_to_shortcut,False,False,True,False,True
139,2,1,1,True,I am updating my makerspace account.,2,True,shortcut_to_correct,while the RFID token must remain active on,1,False,no_flip,True,True,True,True,True
140,2,1,2,False,,,,,I am fixing a loose cabinet latch.,2,False,no_flip,False,False,True,False,True
141,2,1,2,False,,,,,to see whether the jack stand blocks the,1,True,correct_to_shortcut,False,False,True,False,True
142,2,1,2,False,,,,,The desk scanner takes paper proof,1,True,correct_to_shortcut,False,False,True,False,True
143,2,1,1,True,where the jammed lock sits.,2,True,shortcut_to_correct,The marine shop can free my coupler lock.,1,False,no_flip,True,True,True,True,True
144,2,1,2,False,The instructions say perishable samples must be logged,2,False,no_flip,,,,,False,False,True,False,True
145,1,2,1,False,,,,,The renewal packet for my food truck is,1,False,no_flip,False,False,True,False,True
146,2,1,2,False,,,,,The loader is waiting at the pickup pad,2,False,no_flip,False,False,True,False,True
147,1,2,1,False,,,,,The payment window is open,2,True,correct_to_shortcut,False,False,True,False,True
148,1,2,1,False,,,,,from the display,2,True,correct_to_shortcut,False,False,True,False,True
149,1,2,1,False,,,,,door seal,2,True,correct_to_shortcut,False,False,True,False,True
150,2,1,2,False,I am updating my music-practice room account.,2,False,no_flip,,,,,False,False,True,False,True
151,2,1,1,True,Fleet maintenance is at the diagnostic stripe,2,True,shortcut_to_correct,under the van dash.,1,False,no_flip,True,True,True,True,True
152,1,2,1,False,,,,,,,,,False,False,True,False,True
153,1,2,1,False,,,,,onto a padded truck rack.,2,True,correct_to_shortcut,False,False,True,False,True
154,1,2,1,False,,,,,The e-bike frame shop says the touch-up paint,2,True,correct_to_shortcut,False,False,True,False,True
155,1,2,1,False,,,,,The scissor-lift inspection sheet is ready.,2,True,correct_to_shortcut,False,False,True,False,True
156,1,2,1,False,,,,,I am adding a barcode scanner to inventory.,1,False,no_flip,False,False,True,False,True
157,2,1,2,False,,,,,into my truck bed,1,True,correct_to_shortcut,False,False,True,False,True
158,2,1,1,True,The office window is within walking distance.,2,True,shortcut_to_correct,until the guard checks the door seal,1,False,no_flip,True,True,True,True,True
159,1,2,2,True,The report is generated by plugging a tablet,1,True,shortcut_to_correct,before approving parts.,2,False,no_flip,True,True,True,True,True
160,2,1,2,False,,,,,The pallet-jack ticket is logged.,1,True,correct_to_shortcut,False,False,True,False,True
161,1,2,2,True,The warehouse replaced my windshield access sticker,1,True,shortcut_to_correct,,,,,False,False,False,False,False
162,2,1,2,False,The dispatcher is at the loading pad,2,False,no_flip,before releasing the boxes.,2,False,no_flip,False,True,True,False,True
163,2,1,2,False,,,,,and frame serial scan,1,True,correct_to_shortcut,False,False,True,False,True
164,2,1,2,False,,,,,,,,,False,False,True,False,True
165,2,1,2,False,,,,,,,,,False,False,True,False,True
166,2,1,2,False,,,,,The clerk says biological samples go through the,2,False,no_flip,False,False,True,False,True
167,2,1,2,False,to tell the camera director that camera three,2,False,no_flip,,,,,False,False,True,False,True
168,1,2,1,False,,,,,I am tidying a first-aid room.,1,False,no_flip,False,False,True,False,True
169,1,2,1,False,,,,,to my e-bike frame.,1,False,no_flip,False,False,True,False,True
170,1,2,2,True,while the store rebate requires the original register receipt.,1,True,shortcut_to_correct,The clerk scans receipts and tosses the paper,2,False,no_flip,True,True,True,True,True
171,1,2,1,False,,,,,with the utility-aid clerk.,2,True,correct_to_shortcut,False,False,True,False,True
172,1,2,1,False,,,,,,,,,False,False,True,False,True
173,1,2,1,False,,,,,The resident moped permit form is approved.,1,False,no_flip,False,False,True,False,True
174,2,1,1,True,The equipment shop will release my enclosed trailer,2,True,shortcut_to_correct,after checking that the breakaway battery powers the,1,False,no_flip,True,True,True,True,True
175,2,1,2,False,The tech is at the jig,2,False,no_flip,,,,,False,False,True,False,True
176,2,1,2,False,The hiking-pack fitting form is complete.,2,False,no_flip,,,,,False,False,True,False,True
177,1,2,1,False,before handing over the kit.,1,False,no_flip,The recall kit for my snowmobile is reserved.,2,True,correct_to_shortcut,False,True,True,False,True
178,1,2,1,False,,,,,with the event-equipment clerk.,2,True,correct_to_shortcut,False,False,True,False,True
179,2,1,2,False,,,,,I am adding a network switch to inventory.,2,False,no_flip,False,False,True,False,True
180,2,1,2,False,,,,,,,,,False,False,True,False,True
181,1,2,1,False,to scan the sticker already on my scooter.,1,False,no_flip,The ranger is at the accessible path gate,1,False,no_flip,False,True,True,False,True
182,1,2,1,False,,,,,while the rail agency refund counter needs the,2,True,correct_to_shortcut,False,False,True,False,True
183,1,2,2,True,,,,,The maintenance lead is at the fueling bay,2,False,no_flip,False,False,False,False,False
184,1,2,1,False,,,,,to watch the hitch bounce,2,True,correct_to_shortcut,False,False,True,False,True
185,1,2,1,False,,,,,The field tag must be tied,1,False,no_flip,False,False,True,False,True
186,2,1,2,False,,,,,,,,,False,False,True,False,True
187,1,2,1,False,,,,,with the makers-club clerk.,2,True,correct_to_shortcut,False,False,True,False,True
188,1,2,1,False,,,,,I am checking in a portable riser.,1,False,no_flip,False,False,True,False,True
189,1,2,1,False,,,,,Staff are waiting at the vehicle gate,2,True,correct_to_shortcut,False,False,True,False,True
190,2,1,1,True,My car-share account is frozen,1,False,no_flip,The verification garage can unlock it only,1,False,no_flip,False,True,False,False,False
191,1,2,1,False,,,,,The inspector is standing on the return line,1,False,no_flip,False,False,True,False,True
192,1,2,1,False,I need,1,False,no_flip,,,,,False,False,True,False,True
193,2,1,2,False,before staff scan the package.,2,False,no_flip,,,,,False,False,True,False,True
194,2,1,2,False,,,,,to watch the joystick display,2,False,no_flip,False,False,True,False,True
195,1,2,1,False,The equipment trailer's ground-fault note is entered.,1,False,no_flip,,,,,False,False,True,False,True
196,1,2,1,False,,,,,The inventory sticker must be on the box lid,1,False,no_flip,False,False,True,False,True
197,1,2,1,False,,,,,The airport taxi office issued a new lot transponder,1,False,no_flip,False,False,True,False,True
198,1,2,1,False,,,,,to check the draw weight on the actual bow.,1,False,no_flip,False,False,True,False,True
199,1,2,2,True,,,,,The maintenance office is across the dock.,2,False,no_flip,False,False,False,False,False
200,2,1,2,False,,,,,,,,,False,False,True,False,True
201,2,1,2,False,,,,,handed out only,1,True,correct_to_shortcut,False,False,True,False,True
202,1,2,2,True,is keyed on.,1,True,shortcut_to_correct,to watch the dashboard lights when the tug,2,False,no_flip,True,True,True,True,True
203,1,2,1,False,,,,,while the generator warranty sleeve asks me,1,False,no_flip,False,False,True,False,True
204,2,1,2,False,with the release tool,2,False,no_flip,,,,,False,False,True,False,True
205,1,2,1,False,,,,,while my appliance rebate requires the original receipt.,1,False,no_flip,False,False,True,False,True
206,2,1,2,False,and discards it,2,False,no_flip,,,,,False,False,True,False,True
207,1,2,1,False,The passport form is filled out.,1,False,no_flip,,,,,False,False,True,False,True
208,2,1,2,False,,,,,"to the cold-chain intake fridge, not",1,True,correct_to_shortcut,False,False,True,False,True
209,2,1,2,False,,,,,The clerk stores a scan,1,True,correct_to_shortcut,False,False,True,False,True
210,1,2,1,False,,,,,Incoming liquid samples must be scanned directly,1,False,no_flip,False,False,True,False,True
211,1,2,1,False,,,,,to see whether the basket bracket blocks the,2,True,correct_to_shortcut,False,False,True,False,True
212,2,1,2,False,,,,,to tell my colleague that the printed exhibits,2,False,no_flip,False,False,True,False,True
213,1,2,1,False,and strapped.,1,False,no_flip,The yard worker signs the release only,1,False,no_flip,False,True,True,False,True
214,2,1,2,False,,,,,but the technician starts the claim only,1,True,correct_to_shortcut,False,False,True,False,True
215,1,2,1,False,,,,,The shop is at the stand,2,True,correct_to_shortcut,False,False,True,False,True
216,1,2,1,False,,,,,and the manager scans the small RFID sticker,2,True,correct_to_shortcut,False,False,True,False,True
217,2,1,2,False,,,,,with the dorm office.,1,True,correct_to_shortcut,False,False,True,False,True
218,1,2,1,False,,,,,The boat trailer's brake lights blink on,2,True,correct_to_shortcut,False,False,True,False,True
219,2,1,2,False,,,,,The catering-cart repair order is ready.,2,False,no_flip,False,False,True,False,True
220,1,2,1,False,,,,,The repairer is at the dark bench,1,False,no_flip,False,False,True,False,True
221,2,1,2,False,tug runs through short throttle bursts.,2,False,no_flip,The airport tug needs a smoke reading,1,True,correct_to_shortcut,False,True,True,False,True
222,1,2,1,False,,,,,,,,,False,False,True,False,True
223,2,1,1,True,,,,,The safety lead is waiting at the marked zone,1,False,no_flip,False,False,False,False,False
224,1,2,1,False,,,,,The collection label must be sealed,1,False,no_flip,False,False,True,False,True
225,1,2,1,False,,,,,,,,,False,False,True,False,True
226,1,2,1,False,,,,,onto the sample pouch,1,False,no_flip,False,False,True,False,True
227,1,2,1,False,,,,,with the maintenance-file desk.,2,True,correct_to_shortcut,False,False,True,False,True
228,1,2,1,False,,,,,before the clerk scans it.,1,False,no_flip,False,False,True,False,True
229,2,1,1,True,,,,,to hear the contactor when the lift wakes up.,1,False,no_flip,False,False,False,False,False
230,1,2,1,False,to scan the faded rail section,1,False,no_flip,The pontoon fence repair is approved.,2,True,correct_to_shortcut,False,True,True,False,True
231,2,1,2,False,but does,2,False,no_flip,not wake up,1,True,correct_to_shortcut,False,True,True,False,True
232,1,2,1,False,,,,,to watch the display boot,1,False,no_flip,False,False,True,False,True
233,2,1,2,False,The board has no written version.,2,False,no_flip,,,,,False,False,True,False,True
234,1,2,1,False,,,,,,,,,False,False,True,False,True
235,2,1,2,False,The claim desk is inside,2,False,no_flip,and said the lane camera has,1,True,correct_to_shortcut,False,True,True,False,True
236,2,1,2,False,,,,,The taxi lot transponder has been assigned.,1,True,correct_to_shortcut,False,False,True,False,True
237,1,2,1,False,,,,,with the workroom-file desk.,2,True,correct_to_shortcut,False,False,True,False,True
238,2,1,2,False,,,,,The desk clerk scans paper proof,1,True,correct_to_shortcut,False,False,True,False,True
239,2,1,2,False,,,,,with the project-file desk.,1,True,correct_to_shortcut,False,False,True,False,True
240,2,1,2,False,,,,,,,,,False,False,True,False,True
241,1,2,1,False,,,,,with the weatherization clerk.,2,True,correct_to_shortcut,False,False,True,False,True
242,1,2,1,False,,,,,I am documenting a taxi meter error for accounting.,2,True,correct_to_shortcut,False,False,True,False,True
243,1,2,1,False,,,,,,,,,False,False,True,False,True
244,2,1,2,False,The yard checker is at the return stripe,2,False,no_flip,,,,,False,False,True,False,True
245,2,1,2,False,,,,,The campground UTV trail pass is ready.,2,False,no_flip,False,False,True,False,True
246,2,1,2,False,to slide the wrapped mattress,2,False,no_flip,,,,,False,False,True,False,True
247,2,1,2,False,,,,,The adjuster is waiting at the motorhome bay,2,False,no_flip,False,False,True,False,True
248,2,1,2,False,,,,,I am giving maintenance clerk proof for a,2,False,no_flip,False,False,True,False,True
249,2,1,2,False,,,,,I am returning a sealed bottle of art solvent.,2,False,no_flip,False,False,True,False,True
250,2,1,2,False,,,,,The asset sticker must be applied,2,False,no_flip,False,False,True,False,True
251,1,2,2,True,,,,,The belt-loader inspection form is ready.,2,False,no_flip,False,False,False,False,False
252,2,1,2,False,,,,,and cannot be interrupted aloud.,2,False,no_flip,False,False,True,False,True
253,2,1,2,False,,,,,I need to enter the teaching lab.,2,False,no_flip,False,False,True,False,True
254,1,2,1,False,,,,,to tell the stage manager that the extra,2,True,correct_to_shortcut,False,False,True,False,True
255,2,1,2,False,The parts desk is next to the dock.,2,False,no_flip,and note engine hours,1,True,correct_to_shortcut,False,True,True,False,True
256,1,2,2,True,The counter is in the same lot.,1,True,shortcut_to_correct,into their tester.,2,False,no_flip,True,True,True,True,True
257,1,2,2,True,My delivery-driver account is frozen,2,False,no_flip,and the partner garage will clear it only,2,False,no_flip,False,True,False,False,False
258,1,2,1,False,,,,,I am registering a banner stand.,2,True,correct_to_shortcut,False,False,True,False,True
259,1,2,1,False,,,,,I am checking out a library camera.,1,False,no_flip,False,False,True,False,True
260,2,1,2,False,,,,,,,,,False,False,True,False,True
261,2,1,1,True,Their office is next to the bay.,2,True,shortcut_to_correct,My box truck needs a diesel smoke check,1,False,no_flip,True,True,True,True,True
262,2,1,2,False,to be on the frame,2,False,no_flip,,,,,False,False,True,False,True
263,1,2,1,False,and discards it,1,False,no_flip,,,,,False,False,True,False,True
264,2,1,2,False,,,,,to see whether it pops out of gear,2,False,no_flip,False,False,True,False,True
265,1,2,1,False,,,,,The clerk stores a scan,2,True,correct_to_shortcut,False,False,True,False,True
266,2,1,2,False,,,,,The presenter is live on camera,2,False,no_flip,False,False,True,False,True
267,1,2,1,False,,,,,I am turning in a choir robe.,1,False,no_flip,False,False,True,False,True
268,1,2,2,True,,,,,A boat-trailer citation can be cleared if the,2,False,no_flip,False,False,False,False,False
269,1,2,1,False,,,,,before the clerk scans it.,1,False,no_flip,False,False,True,False,True
270,2,1,2,False,,,,,I am documenting a shuttle cancellation for supervisor file.,1,True,correct_to_shortcut,False,False,True,False,True
271,2,1,2,False,the wrong tone.,2,False,no_flip,,,,,False,False,True,False,True
272,1,2,1,False,,,,,I am documenting a toll-lane malfunction for payroll.,2,True,correct_to_shortcut,False,False,True,False,True
273,2,1,1,True,,,,,The forklift lock-cylinder request is approved.,1,False,no_flip,False,False,False,False,False
274,1,2,1,False,,,,,The gate clerk is at the exit,2,True,correct_to_shortcut,False,False,True,False,True
275,1,2,1,False,The ELD account is set up.,1,False,no_flip,,,,,False,False,True,False,True
276,1,2,1,False,,,,,into their 7-pin tester,2,True,correct_to_shortcut,False,False,True,False,True
277,1,2,1,False,,,,,My golf cart powers up only,2,True,correct_to_shortcut,False,False,True,False,True
278,2,1,2,False,,,,,spare cable is in the drawer.,2,False,no_flip,False,False,True,False,True
279,1,2,2,True,,,,,Maintenance is at the bay,2,False,no_flip,False,False,False,False,False
280,2,1,2,False,,,,,The sound operator is mixing a live song.,1,True,correct_to_shortcut,False,False,True,False,True
