id,prediction_original,original_logodds,original_logprob_1,original_logprob_2,probability_method,n_spans,valid_key_detected,predicted_hallucination,decision,true_hallucination,correct_option_eval_only,candidate_index,candidate_text,span_start,span_end,delete_prediction,delete_logodds,delete_logprob_1,delete_logprob_2,delete_delta,delete_flip,emphasis_prediction,emphasis_logodds,emphasis_logprob_1,emphasis_logprob_2,emphasis_delta,emphasis_flip,candidate_score,passes_candidate_gate,selected_top_k,negated_sentence,negated_prompt,rewrite_valid,notes,negation_prediction,negation_logodds,negation_logprob_1,negation_logprob_2,negation_delta,negation_flip,method_consistent,surface_preserved,predicted_key_type,classification_reason,negation_significant,key_confidence
2,2,7.453125229803845,-7.453704833984375,-0.0005796041805297136,logprobs,6,True,False,constraint_evidence,True,1,5,The office is next to the lot.,166,196,2,5.687500125495717,-5.690882682800293,-0.0033825573045760393,-1.7656251043081284,False,2,6.671875170315616,-6.673140525817871,-0.001265355502255261,-0.7812500594882295,False,1.7656251043081284,True,False,,,,not top-k,,,,,,,True,,,not selected for negation,,0.0
3,2,24.52734375,-24.52734375,0.0,logprobs,5,True,False,constraint_evidence,False,2,0,The moped touch-up order is ready.,10,44,2,14.625000402450667,-14.625000953674316,-5.512236498361744e-07,-9.902343347549333,False,2,23.53662109375,-23.53662109375,0.0,-0.99072265625,False,9.902343347549333,True,False,,,,not top-k,,,,,,,True,,,not selected for negation,,0.0
3,2,24.52734375,-24.52734375,0.0,logprobs,5,True,False,constraint_evidence,False,2,1,The technician needs a scanner read,45,80,2,10.015624927706085,-10.015669822692871,-4.4894986785948277e-05,-14.511718822293915,False,2,22.69140625,-22.69140625,0.0,-1.8359375,False,14.511718822293915,True,True,"The technician does not need a scanner read from the welded main frame near the steering neck, not a loose cover.","Scenario: The moped touch-up order is ready. The technician does not need a scanner read from the welded main frame near the steering neck, not a loose cover. Should I bring the moped to the bench or walk to the bench without it?
Option1: Walk to the bench without the moped
Option2: Bring the moped to the bench
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.",True,,1,-2.09375,-0.11620521545410156,-2.2099552154541016,-26.62109375,True,True,,constraint_key,negation flips the answer or its probability change passes the threshold,True,1.0
3,2,24.52734375,-24.52734375,0.0,logprobs,5,True,False,constraint_evidence,False,2,2,from the welded main frame,81,107,2,13.070312068070052,-13.070314407348633,-2.339278580620885e-06,-11.457031681929948,False,2,15.031250283247005,-15.031250953674316,-6.704273118884885e-07,-9.496093466752995,False,11.457031681929948,True,True,"The technician needs a scanner read not from the welded main frame near the steering neck, not a loose cover.","Scenario: The moped touch-up order is ready. The technician needs a scanner read not from the welded main frame near the steering neck, not a loose cover. Should I bring the moped to the bench or walk to the bench without it?
Option1: Walk to the bench without the moped
Option2: Bring the moped to the bench
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.",True,,2,8.484375307685696,-8.484582901000977,-0.0002075933152809739,-16.042968442314304,False,True,,constraint_key,negation flips the answer or its probability change passes the threshold,True,1.0
3,2,24.52734375,-24.52734375,0.0,logprobs,5,True,False,constraint_evidence,False,2,3,near the steering neck,108,130,2,22.359375,-22.359375,0.0,-2.16796875,False,2,15.093749567980012,-15.09375,-4.320199877838604e-07,-9.433594182019988,False,9.433594182019988,True,False,,,,not top-k,,,,,,,True,,,not selected for negation,,0.0
3,2,24.52734375,-24.52734375,0.0,logprobs,5,True,False,constraint_evidence,False,2,4,not a loose cover.,132,150,2,4.015625199303031,-4.033496379852295,-0.017871180549263954,-20.51171855069697,False,2,10.92968790330633,-10.929706573486328,-1.8670179997570813e-05,-13.59765584669367,False,20.51171855069697,True,True,"The technician needs a scanner read from the welded main frame near the steering neck, a loose cover. Should I bring the moped to the bench or walk to the bench without it?","Scenario: The moped touch-up order is ready. The technician needs a scanner read from the welded main frame near the steering neck, a loose cover. Should I bring the moped to the bench or walk to the bench without it?
Option1: Walk to the bench without the moped
Option2: Bring the moped to the bench
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.",True,,2,10.890625164898665,-10.890644073486328,-1.8908587662735954e-05,-13.636718585101335,False,True,,constraint_key,negation flips the answer or its probability change passes the threshold,True,1.0
4,1,-7.468749991210643,-0.0005750744021497667,-7.469325065612793,logprobs,5,True,False,constraint_evidence,False,1,0,The repair ticket for my van is open.,10,47,1,-2.250000074505806,-0.1002146452665329,-2.350214719772339,5.218749916704837,False,1,-1.7343749701976776,-0.1625606119632721,-1.8969355821609497,5.734375021012966,False,5.734375021012966,True,True,Scenario: The repair ticket for my van is not open. The technician is in the scan stall with a tablet that reads stored codes from the port under the dash.,"Scenario: The repair ticket for my van is not open. The technician is in the scan stall with a tablet that reads stored codes from the port under the dash. For this step, what should I do?
Option1: Drive the van into the scan stall
Option2: Walk into the scan stall without the van
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.",True,,1,-2.2968749180436134,-0.09583433717489243,-2.392709255218506,5.17187507316703,False,True,,constraint_key,negation flips the answer or its probability change passes the threshold,True,1.0
4,1,-7.468749991210643,-0.0005750744021497667,-7.469325065612793,logprobs,5,True,False,constraint_evidence,False,1,1,The technician is in the scan stall,48,83,1,-16.84765625,0.0,-16.84765625,-9.378906258789357,False,1,-7.812499783583917,-0.0004107732092961669,-7.812910556793213,-0.3437497923732735,False,9.378906258789357,True,True,The technician is not in the scan stall with a tablet that reads stored codes from the port under the dash.,"Scenario: The repair ticket for my van is open. The technician is not in the scan stall with a tablet that reads stored codes from the port under the dash. For this step, what should I do?
Option1: Drive the van into the scan stall
Option2: Walk into the scan stall without the van
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.",True,,1,-14.93750004483968,-9.088346359931165e-07,-14.937500953674316,-7.468750053629037,False,True,,constraint_key,negation flips the answer or its probability change passes the threshold,True,1.0
4,1,-7.468749991210643,-0.0005750744021497667,-7.469325065612793,logprobs,5,True,False,constraint_evidence,False,1,2,with a tablet that reads stored codes,84,121,1,-5.656250173225999,-0.0035012420266866684,-5.6597514152526855,1.8124998179846443,False,1,-6.109375192783773,-0.002221391536295414,-6.111596584320068,1.3593747984268703,False,1.8124998179846443,True,False,,,,not top-k,,,,,,,True,,,not selected for negation,,0.0
4,1,-7.468749991210643,-0.0005750744021497667,-7.469325065612793,logprobs,5,True,False,constraint_evidence,False,1,3,from the port,122,135,2,0.140625,-0.7659338116645813,-0.6253088116645813,7.609374991210643,True,1,-7.093750060361344,-0.000836312014143914,-7.094586372375488,0.37499993084929883,False,9.609374991210643,True,True,The technician is in the scan stall with a tablet that does not read stored codes from the port under the dash.,"Scenario: The repair ticket for my van is open. The technician is in the scan stall with a tablet that does not read stored codes from the port under the dash. For this step, what should I do?
Option1: Drive the van into the scan stall
Option2: Walk into the scan stall without the van
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.",True,,1,-3.3125000037252903,-0.03577756509184837,-3.3482775688171387,4.156249987485353,False,True,,constraint_key,negation flips the answer or its probability change passes the threshold,True,1.0
4,1,-7.468749991210643,-0.0005750744021497667,-7.469325065612793,logprobs,5,True,False,constraint_evidence,False,1,4,under the dash.,136,151,1,-5.921875006752089,-0.0026802949141710997,-5.92455530166626,1.5468749844585545,False,1,-6.828124960418791,-0.0010910429991781712,-6.829216003417969,0.6406250307918526,False,1.5468749844585545,True,False,,,,not top-k,,,,,,,True,,,not selected for negation,,0.0
5,1,-10.17187516584454,-3.893480243277736e-05,-10.171914100646973,logprobs,5,True,False,constraint_evidence,False,1,0,The scooter CVT issue is checked in.,10,46,1,-8.226562113675755,-0.0002693224814720452,-8.226831436157227,1.9453130521687854,False,1,-7.828125021449523,-0.0003986144147347659,-7.828523635864258,2.343750144395017,False,2.343750144395017,True,False,,,,not top-k,,,,,,,True,,,not selected for negation,,0.0
5,1,-10.17187516584454,-3.893480243277736e-05,-10.171914100646973,logprobs,5,True,False,constraint_evidence,False,1,1,The mechanic is at the short loop,47,80,1,-11.57031242622088,-1.3425219549390022e-05,-11.57032585144043,-1.3984372603763404,False,1,-14.546875283247005,-6.704273118884885e-07,-14.546875953674316,-4.375000117402465,False,4.375000117402465,True,True,The mechanic is not at the short loop with a tach meter to watch RPM during acceleration.,"Scenario: The scooter CVT issue is checked in. The mechanic is not at the short loop with a tach meter to watch RPM during acceleration. Should I ride the scooter through the loop or walk through without it?
Option1: Ride the scooter through the loop
Option2: Walk through the loop without the scooter
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.",True,,1,-2.656250022351742,-0.06785628944635391,-2.7241063117980957,7.515625143492798,False,True,,constraint_key,negation flips the answer or its probability change passes the threshold,True,1.0
5,1,-10.17187516584454,-3.893480243277736e-05,-10.171914100646973,logprobs,5,True,False,constraint_evidence,False,1,2,with a tach meter,81,98,1,-21.107421562183674,-3.128163257315464e-07,-21.107421875,-10.935546396339134,False,1,-11.570312068430212,-9.968312951968983e-06,-11.570322036743164,-1.3984369025856722,False,10.935546396339134,True,True,The mechanic is at the short loop without a tach meter to watch RPM during acceleration.,"Scenario: The scooter CVT issue is checked in. The mechanic is at the short loop without a tach meter to watch RPM during acceleration. Should I ride the scooter through the loop or walk through without it?
Option1: Ride the scooter through the loop
Option2: Walk through the loop without the scooter
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.",True,,1,-2.937500014901161,-0.051641449332237244,-2.9891414642333984,7.234375150943379,False,True,,constraint_key,negation flips the answer or its probability change passes the threshold,True,1.0
5,1,-10.17187516584454,-3.893480243277736e-05,-10.171914100646973,logprobs,5,True,False,constraint_evidence,False,1,3,to watch RPM,99,111,1,-14.804687902450667,-5.512236498361744e-07,-14.804688453674316,-4.632812736606127,False,1,-11.554687187634045,-9.849109119386412e-06,-11.554697036743164,-1.3828120217895048,False,4.632812736606127,True,True,The mechanic is at the short loop with a tach meter not to watch RPM during acceleration.,"Scenario: The scooter CVT issue is checked in. The mechanic is at the short loop with a tach meter not to watch RPM during acceleration. Should I ride the scooter through the loop or walk through without it?
Option1: Ride the scooter through the loop
Option2: Walk through the loop without the scooter
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.",True,,1,-1.3593749403953552,-0.22858649492263794,-1.5879614353179932,8.812500225449185,False,True,,constraint_key,negation flips the answer or its probability change passes the threshold,True,1.0
5,1,-10.17187516584454,-3.893480243277736e-05,-10.171914100646973,logprobs,5,True,False,constraint_evidence,False,1,4,during acceleration.,112,132,1,-7.328125165659003,-0.0006583464564755559,-7.3287835121154785,2.843750000185537,False,1,-6.671874939347617,-0.0012689243303611875,-6.6731438636779785,3.5000002264969226,False,3.5000002264969226,True,False,,,,not top-k,,,,,,,True,,,not selected for negation,,0.0
7,1,-5.218750087544322,-0.005405815318226814,-5.224155902862549,logprobs,6,True,False,constraint_evidence,False,1,0,The clinic lost the spare key for my,10,46,2,2.687500052154064,-2.753335475921631,-0.06583542376756668,7.906250139698386,True,1,-3.453124986961484,-0.031158221885561943,-3.484283208847046,1.765625100582838,False,9.906250139698386,True,True,Scenario: The clinic did not lose the spare key for my mobility scooter's storage bin and said they can cut one after matching the scooter ID label to my chart.,"Scenario: The clinic did not lose the spare key for my mobility scooter's storage bin and said they can cut one after matching the scooter ID label to my chart. The reception desk is down the hall. Should I walk to reception or bring the scooter?
Option1: Bring the scooter
Option2: Walk to reception
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.",True,,1,-0.9843750596046448,-0.3174886107444763,-1.301863670349121,4.234375027939677,False,True,,constraint_key,negation flips the answer or its probability change passes the threshold,True,1.0
7,1,-5.218750087544322,-0.005405815318226814,-5.224155902862549,logprobs,6,True,False,constraint_evidence,False,1,1,mobility scooter's storage bin,47,77,2,4.1093751434236765,-4.125659942626953,-0.016284799203276634,9.328125230967999,True,1,-2.7343750968575478,-0.06291379779577255,-2.7972888946533203,2.4843749906867743,False,11.328125230967999,True,True,Scenario: The clinic did not lose the spare key for my mobility scooter's storage bin and said they can cut one after matching the scooter ID label to my chart.,"Scenario: The clinic did not lose the spare key for my mobility scooter's storage bin and said they can cut one after matching the scooter ID label to my chart. The reception desk is down the hall. Should I walk to reception or bring the scooter?
Option1: Bring the scooter
Option2: Walk to reception
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.",True,,1,-0.9843750596046448,-0.3174886107444763,-1.301863670349121,4.234375027939677,False,True,,constraint_key,negation flips the answer or its probability change passes the threshold,True,1.0
7,1,-5.218750087544322,-0.005405815318226814,-5.224155902862549,logprobs,6,True,False,constraint_evidence,False,1,2,and said they can cut one,78,103,1,-6.890624891151674,-0.001021970878355205,-6.891646862030029,-1.671874803607352,False,1,-1.6718749701976776,-0.17218545079231262,-1.8440604209899902,3.5468751173466444,False,3.5468751173466444,True,False,,,,not top-k,,,,,,,True,,,not selected for negation,,0.0
7,1,-5.218750087544322,-0.005405815318226814,-5.224155902862549,logprobs,6,True,False,constraint_evidence,False,1,3,after matching the scooter ID label,104,139,1,-4.968749831896275,-0.0069290888495743275,-4.97567892074585,0.25000025564804673,False,1,-4.296874992549419,-0.013523586094379425,-4.310398578643799,0.9218750949949026,False,0.9218750949949026,True,False,,,,not top-k,,,,,,,True,,,not selected for negation,,0.0
7,1,-5.218750087544322,-0.005405815318226814,-5.224155902862549,logprobs,6,True,False,constraint_evidence,False,1,4,to my chart.,140,152,1,-0.75,-0.3868744373321533,-1.1368744373321533,4.468750087544322,False,1,-4.48437521699816,-0.01122500654309988,-4.49560022354126,0.7343748705461621,False,4.468750087544322,True,True,Scenario: The clinic lost the spare key for my mobility scooter's storage bin and said they can not cut one after matching the scooter ID label to my chart. The reception desk is down the hall.,"Scenario: The clinic lost the spare key for my mobility scooter's storage bin and said they can not cut one after matching the scooter ID label to my chart. The reception desk is down the hall. Should I walk to reception or bring the scooter?
Option1: Bring the scooter
Option2: Walk to reception
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.",True,Added 'not' to negate 'they can cut one' while preserving all other content and entities.,1,-5.468750174622983,-0.004209343809634447,-5.472959518432617,-0.2500000870786607,False,True,,constraint_key,negation flips the answer or its probability change passes the threshold,True,0.5555557490636905
7,1,-5.218750087544322,-0.005405815318226814,-5.224155902862549,logprobs,6,True,False,constraint_evidence,False,1,5,The reception desk is down the hall.,153,189,1,-1.6562500298023224,-0.1746715009212494,-1.8309215307235718,3.5625000577419996,False,1,-4.078124916180968,-0.01679905690252781,-4.094923973083496,1.1406251713633537,False,3.5625000577419996,True,False,,,,not top-k,,,,,,,True,,,not selected for negation,,0.0
8,2,3.044522437723423,-3.0910424533583156,-0.04652001563489282,sampling,3,False,,ambiguous,False,2,0,I need to make staff copies.,10,38,2,3.044522437723423,-3.0910424533583156,-0.04652001563489282,0.0,False,2,3.044522437723423,-3.0910424533583156,-0.04652001563489282,0.0,False,0.0,False,False,,,,not top-k,,,,,,,True,,,not selected for negation,,0.0
8,2,3.044522437723423,-3.0910424533583156,-0.04652001563489282,sampling,3,False,,ambiguous,False,2,1,The copier records usage only,39,68,2,3.044522437723423,-3.0910424533583156,-0.04652001563489282,0.0,False,2,3.044522437723423,-3.0910424533583156,-0.04652001563489282,0.0,False,0.0,False,False,,,,not top-k,,,,,,,True,,,not selected for negation,,0.0
8,2,3.044522437723423,-3.0910424533583156,-0.04652001563489282,sampling,3,False,,ambiguous,False,2,2,after the department card is swiped.,69,105,2,3.044522437723423,-3.0910424533583156,-0.04652001563489282,0.0,False,2,3.044522437723423,-3.0910424533583156,-0.04652001563489282,0.0,False,0.0,False,False,,,,not top-k,,,,,,,True,,,not selected for negation,,0.0
10,1,-17.76953105638735,-1.9361264946837764e-07,-17.76953125,logprobs,4,True,False,constraint_evidence,False,1,0,I am adding a label printer to inventory.,10,51,2,0.96875,-1.2905136346817017,-0.32176363468170166,18.73828105638735,True,1,-18.03906230638735,-1.9361264946837764e-07,-18.0390625,-0.26953125,False,20.73828105638735,True,True,Scenario: I am not adding a label printer to inventory. The inventory tag must be applied to the top panel before the clerk scans it.,"Scenario: I am not adding a label printer to inventory. The inventory tag must be applied to the top panel before the clerk scans it. What should I bring to inventory desk?
Option1: The label printer with the inventory tag applied
Option2: Only the inventory tag
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.",True,,2,7.015625237429049,-7.016523361206055,-0.0008981237770058215,24.7851562938164,True,True,,constraint_key,negation flips the answer or its probability change passes the threshold,True,1.0
10,1,-17.76953105638735,-1.9361264946837764e-07,-17.76953125,logprobs,4,True,False,constraint_evidence,False,1,1,The inventory tag must be applied,52,85,1,-8.312500205123797,-0.00024965754710137844,-8.312749862670898,9.457030851263553,False,1,-22.6640625,0.0,-22.6640625,-4.8945314436126495,False,9.457030851263553,True,True,The inventory tag must not be applied to the top panel before the clerk scans it.,"Scenario: I am adding a label printer to inventory. The inventory tag must not be applied to the top panel before the clerk scans it. What should I bring to inventory desk?
Option1: The label printer with the inventory tag applied
Option2: Only the inventory tag
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.",True,,2,15.960937902450667,-15.960938453674316,-5.512236498361744e-07,33.73046895883802,True,True,,constraint_key,negation flips the answer or its probability change passes the threshold,True,1.0
10,1,-17.76953105638735,-1.9361264946837764e-07,-17.76953125,logprobs,4,True,False,constraint_evidence,False,1,2,to the top panel,86,102,1,-14.32812504483968,-9.088346359931165e-07,-14.328125953674316,3.44140601154767,False,1,-21.184569880480012,-4.320199877838604e-07,-21.1845703125,-3.4150388240926617,False,3.44140601154767,True,False,,,,not top-k,,,,,,,True,,,not selected for negation,,0.0
10,1,-17.76953105638735,-1.9361264946837764e-07,-17.76953125,logprobs,4,True,False,constraint_evidence,False,1,3,before the clerk scans it.,103,129,1,-4.921874817460775,-0.007263366132974625,-4.92913818359375,12.847656238926575,False,1,-13.285155818070052,-2.339278580620885e-06,-13.285158157348633,4.484375238317298,False,12.847656238926575,True,True,The inventory tag must be applied to the top panel after the clerk scans it. What should I bring to inventory desk?,"Scenario: I am adding a label printer to inventory. The inventory tag must be applied to the top panel after the clerk scans it. What should I bring to inventory desk?
Option1: The label printer with the inventory tag applied
Option2: Only the inventory tag
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.",True,Replaced the target span “before the clerk scans it.” with its temporal negation “after the clerk scans it.” All other text preserved.,2,4.656249859370291,-4.665707588195801,-0.009457728825509548,22.42578091575764,True,True,,constraint_key,negation flips the answer or its probability change passes the threshold,True,1.0
11,1,-7.93750023591565,-0.0003583456273190677,-7.937858581542969,logprobs,4,True,False,constraint_evidence,False,1,0,The UTV return contract is prepared.,10,46,1,-8.390625073938281,-0.00022880789765622467,-8.390853881835938,-0.4531248380226316,False,1,-14.414062664043342,-7.896309739408025e-07,-14.414063453674316,-6.476562428127693,False,6.476562428127693,True,True,Scenario: The UTV return contract is not prepared. The rental worker is at the return stall to photograph the bumper dent and hour meter.,"Scenario: The UTV return contract is not prepared. The rental worker is at the return stall to photograph the bumper dent and hour meter. Should I park the UTV in the stall or walk to the stall without it?
Option1: Park the UTV in the stall
Option2: Walk to the stall without the UTV
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.",True,,1,-5.812499936902896,-0.002986494218930602,-5.815486431121826,2.125000299012754,False,True,,constraint_key,negation flips the answer or its probability change passes the threshold,True,1.0
11,1,-7.93750023591565,-0.0003583456273190677,-7.937858581542969,logprobs,4,True,False,constraint_evidence,False,1,1,The rental worker is at the return stall,47,87,1,-6.4062497921986505,-0.0016510180430486798,-6.407900810241699,1.5312504437169991,False,1,-6.328125025960617,-0.0017857291968539357,-6.329910755157471,1.609375209955033,False,1.609375209955033,True,False,,,,not top-k,,,,,,,True,,,not selected for negation,,0.0
11,1,-7.93750023591565,-0.0003583456273190677,-7.937858581542969,logprobs,4,True,False,constraint_evidence,False,1,2,to photograph the bumper dent,88,117,1,-5.87499988800846,-0.0028067755047231913,-5.877806663513184,2.0625003479071893,False,1,-12.460937187363925,-4.127333340875339e-06,-12.460941314697266,-4.523436951448275,False,4.523436951448275,True,True,The rental worker is at the return stall not to photograph the bumper dent and hour meter.,"Scenario: The UTV return contract is prepared. The rental worker is at the return stall not to photograph the bumper dent and hour meter. Should I park the UTV in the stall or walk to the stall without it?
Option1: Park the UTV in the stall
Option2: Walk to the stall without the UTV
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.",True,,1,-2.296874962747097,-0.09583238512277603,-2.392707347869873,5.640625273168553,False,True,,constraint_key,negation flips the answer or its probability change passes the threshold,True,1.0
