item_index,item_id,condition,text,prior_shortcut_margin,correct_margin,prediction,is_correct,detector_probability,detector_trigger
58,58,common_control,"The store is nearby, just a short walk from my dock.",1.25,-0.375,2,False,0.5303471866893004,False
58,58,prior_low,The marina store is just a short stroll away.,0.75,-0.25,2,False,0.5303471866893004,False
58,58,prior_mid,The store is close enough to walk to from my boat.,2.375,-0.75,2,False,0.5303471866893004,False
58,58,prior_high,I can easily walk there from my boat.,4.875,-0.375,2,False,0.5303471866893004,False
58,58,pdp,The marina store is just a short stroll away.,0.75,-0.25,2,False,0.5303471866893004,False
58,58,context_link,The proximity of the store to my dock should be considered in conjunction with the need to test the wiring fault on the trailer.,,-0.5,2,False,0.5303471866893004,False
58,58,joint,PDP + CKL,,-0.375,2,False,0.5303471866893004,False
60,60,original,The pharmacy says packs must be scanned into the back cold room immediately.,-5.375,5.625,1,True,0.36044861685187096,False
60,60,common_control,The pharmacy requires that vaccine packs be scanned into the back cold room right away.,-5.375,5.625,1,True,0.36044861685187096,False
60,60,prior_low,The pharmacy insists that vaccine packs need to be scanned into the back cold room immediately.,-6.0,4.375,1,True,0.36044861685187096,False
60,60,prior_mid,The pharmacy says vaccine packs must be scanned into the back cold room immediately.,-5.5,5.75,1,True,0.36044861685187096,False
60,60,prior_high,The pharmacy advises that vaccine packs be scanned into the back cold room right away.,-4.875,5.625,1,True,0.36044861685187096,False
60,60,pdp,The pharmacy insists that vaccine packs need to be scanned into the back cold room immediately.,-6.0,4.375,1,True,0.36044861685187096,False
60,60,context_link,This requirement should be considered in conjunction with the need to deliver the vaccine packs to a secure area.,,4.375,1,True,0.36044861685187096,False
60,60,joint,PDP + CKL,,3.5,1,True,0.36044861685187096,False
61,61,original,I am checking in a rolling whiteboard.,-3.625,4.625,2,True,0.3496005746616056,False
61,61,common_control,I've brought a rolling whiteboard to be checked in.,-3.5,3.375,2,True,0.3496005746616056,False
61,61,prior_low,I have a rolling whiteboard to check in.,-3.875,4.125,2,True,0.3496005746616056,False
61,61,prior_mid,I am submitting a rolling whiteboard for intake.,-3.375,4.75,2,True,0.3496005746616056,False
61,61,prior_high,I'm turning in a rolling whiteboard for intake purposes.,-2.75,5.5,2,True,0.3496005746616056,False
61,61,pdp,I'm handing over a rolling whiteboard for processing.,-3.875,3.25,2,True,0.3496005746616056,False
61,61,context_link,The room-number tag must be attached to the whiteboard before staff move it inside.,,4.375,2,True,0.3496005746616056,False
61,61,joint,PDP + CKL,,3.75,2,True,0.3496005746616056,False
62,62,original,The confirmation is done at the drive-through guard post.,-3.25,0.5,1,True,0.6225959767167805,True
62,62,common_control,"The confirmation is done at the drive-through guard post, where security can verify the van.",-2.5,0.625,1,True,0.6225959767167805,True
62,62,prior_low,The confirmation process occurs at the drive-through guard post.,-2.75,0.25,1,True,0.6225959767167805,True
62,62,prior_mid,The drive-through guard post is the location for security confirmation.,-1.875,-0.125,2,False,0.6225959767167805,True
62,62,prior_high,Security will confirm the van's identity at the drive-through guard post.,-0.875,1.0,1,True,0.6225959767167805,True
62,62,pdp,The confirmation process occurs at the drive-through guard post.,-2.75,0.25,1,True,0.6225959767167805,True
62,62,context_link,The confirmation at the drive-through guard post is a necessary step for security to verify the van's windshield RFID sticker.,,1.25,1,True,0.6225959767167805,True
62,62,joint,PDP + CKL,,1.25,1,True,0.6225959767167805,True
73,73,original,The inspector is at the roller pad to apply the breakaway switch and watch each wheel resist.,-1.625,3.625,2,True,0.30914484867007863,False
73,73,common_control,"The inspector is at the roller pad, applying the breakaway switch to check each wheel's resistance.",-1.75,3.5,2,True,0.30914484867007863,False
73,73,prior_low,"The inspector is at the roller pad, activating the breakaway switch to ensure the wheels resist properly.",-2.625,3.5,2,True,0.30914484867007863,False
73,73,prior_mid,The inspector is at the roller pad to apply the breakaway switch and observe the wheels resisting.,-1.875,3.625,2,True,0.30914484867007863,False
73,73,prior_high,"The inspector is at the roller pad, ready to apply the breakaway switch and inspect each wheel's resistance.",-1.125,3.625,2,True,0.30914484867007863,False
73,73,pdp,"The inspector is at the roller pad, activating the breakaway switch and monitoring the wheels' resistance.",-2.625,3.625,2,True,0.30914484867007863,False
73,73,context_link,"The equipment trailer brake check is queued, so the inspector's actions at the roller pad are relevant to ensuring the wheels and breakaway switch function correctly.",,4.375,2,True,0.30914484867007863,False
73,73,joint,PDP + CKL,,4.375,2,True,0.30914484867007863,False
76,76,original,Yard staff are at the test pad to read the hour meter and test the brake-away battery.,-2.125,2.125,2,True,0.5172885438324462,False
76,76,common_control,The yard crew is at the test pad to test the meter and backup power.,-2.125,2.125,2,True,0.5172885438324462,False
76,76,prior_low,Yard staff are present to check the hour meter and test the reserve power source.,-3.5,2.625,2,True,0.5172885438324462,False
76,76,prior_mid,The yard crew is at the test pad to check the meter and emergency power.,-2.375,1.75,2,True,0.5172885438324462,False
76,76,prior_high,The yard staff are at the test pad to read the meter and test the spare battery.,-2.0,1.625,2,True,0.5172885438324462,False
76,76,pdp,Yard staff are present to check the hour meter and test the reserve power source.,-3.5,2.625,2,True,0.5172885438324462,False
76,76,context_link,The presence of the yard staff at the test pad to read the hour meter and test the brake-away battery is relevant to the decision because it indicates the generator-trailer return is logged.,,2.25,2,True,0.5172885438324462,False
76,76,joint,PDP + CKL,,3.0,2,True,0.5172885438324462,False
77,77,original,The mooring form is complete.,-2.875,3.0,2,True,0.48016851034719793,False
77,77,common_control,The mooring form has been filled out.,-3.0,3.0,2,True,0.48016851034719793,False
77,77,prior_low,The mooring form has been completed successfully.,-3.625,3.0,2,True,0.48016851034719793,False
77,77,prior_mid,The mooring form has been finalized.,-3.375,3.25,2,True,0.48016851034719793,False
77,77,prior_high,The form has been fully completed.,-2.75,3.125,2,True,0.48016851034719793,False
77,77,pdp,The mooring form has been completed successfully.,-3.625,3.0,2,True,0.48016851034719793,False
77,77,context_link,The harbor clerk's position at the ramp is only relevant if the mooring form is indeed complete.,,2.875,2,True,0.48016851034719793,False
77,77,joint,PDP + CKL,,2.875,2,True,0.48016851034719793,False
81,81,original,The electric motorcycle warning note is entered.,-3.5,1.625,2,True,0.44501308826866015,False
81,81,common_control,The warning note for the electric motorcycle has been entered.,-3.375,1.75,2,True,0.44501308826866015,False
81,81,prior_low,The electric motorcycle warning has been logged.,-4.0,1.625,2,True,0.44501308826866015,False
81,81,prior_mid,The electric motorcycle warning is now recorded.,-3.0,1.75,2,True,0.44501308826866015,False
81,81,prior_high,The electric motorcycle has been flagged with a warning note.,-2.25,2.0,2,True,0.44501308826866015,False
81,81,pdp,The electric motorcycle warning has been logged.,-4.0,1.625,2,True,0.44501308826866015,False
81,81,context_link,"This warning note is relevant to the service writer's task, which involves downloading inverter logs from the motorcycle.",,2.0,2,True,0.44501308826866015,False
81,81,joint,PDP + CKL,,2.25,2,True,0.44501308826866015,False
90,90,original,The office is at the top of the dock ramp.,-0.75,0.375,1,True,0.4025275709740633,False
90,90,common_control,"The office is at the top of the dock, on the ramp.",-0.5,0.25,1,True,0.4025275709740633,False
90,90,prior_low,The office is located at the top of the dock ramp.,-1.0,0.5,1,True,0.4025275709740633,False
90,90,prior_mid,The office is at the very top of the dock ramp.,-0.375,0.625,1,True,0.4025275709740633,False
90,90,prior_high,The office is up at the top of the ramp.,0.5,0.0,1,True,0.4025275709740633,False
90,90,pdp,The office is located at the top of the dock ramp.,-1.0,0.5,1,True,0.4025275709740633,False
90,90,context_link,This information about the office's location is relevant because it explains how to physically access the harbor office.,,-0.375,2,False,0.4025275709740633,False
90,90,joint,PDP + CKL,,-0.375,2,False,0.4025275709740633,False
112,112,original,The equipment tech is standing beside the tester to check that the breakaway battery powers the brakes.,0.625,-0.125,2,False,0.40902677755228073,False
112,112,common_control,The equipment tech is checking that the breakaway battery is powering the brakes.,0.25,0.5,1,True,0.40902677755228073,False
112,112,prior_low,The equipment tech is on the scene to check that the breakaway battery powers the brakes.,-0.125,0.5,1,True,0.40902677755228073,False
112,112,prior_mid,The equipment tech is on site to ensure the breakaway battery powers the brakes.,0.125,1.125,1,True,0.40902677755228073,False
112,112,prior_high,The equipment tech is checking that the breakaway battery is powering the brakes.,0.25,0.5,1,True,0.40902677755228073,False
112,112,pdp,The equipment tech is on the scene to check that the breakaway battery powers the brakes.,-0.125,0.5,1,True,0.40902677755228073,False
112,112,context_link,This confirmation is crucial because it affects whether the trailer is safe to tow.,,0.0,1,True,0.40902677755228073,False
112,112,joint,PDP + CKL,,0.0,1,True,0.40902677755228073,False
117,117,original,The booth worker is beside the arm to read the cab's roof transponder as it passes under the antenna.,-4.875,5.0,2,True,0.43059387031391394,False
117,117,common_control,The booth worker is beside the antenna to scan the cab's transponder as it passes by.,-5.375,3.875,2,True,0.43059387031391394,False
117,117,prior_low,The attendant is standing next to the antenna to read the cab's transponder as it drives under.,-6.375,4.125,2,True,0.43059387031391394,False
117,117,prior_mid,The attendant is standing beside the antenna to read the cab's transponder as it passes underneath.,-6.25,3.75,2,True,0.43059387031391394,False
117,117,prior_high,The booth attendant is next to the antenna to scan the cab's roof transponder as it goes by.,-5.0,4.125,2,True,0.43059387031391394,False
117,117,pdp,The attendant is standing next to the antenna to read the cab's transponder as it drives under.,-6.375,4.125,2,True,0.43059387031391394,False
117,117,context_link,"This step requires the permit to be assigned, which implies the attendant needs to scan the cab's transponder to verify its identity.",,4.25,2,True,0.43059387031391394,False
117,117,joint,PDP + CKL,,4.25,2,True,0.43059387031391394,False
125,125,original,while the shuttle counter requires the original paper ride voucher for the refund.,1.75,4.375,2,True,0.4887588980082053,False
125,125,common_control,the shuttle counter requires the original paper ride voucher as proof for the refund,1.75,2.625,2,True,0.4887588980082053,False
125,125,prior_low,the shuttle counter insists on the original paper ride voucher for the refund,0.375,3.25,2,True,0.4887588980082053,False
125,125,prior_mid,the shuttle counter necessitates the original paper ride voucher for the refund claim,1.375,2.0,2,True,0.4887588980082053,False
125,125,prior_high,the shuttle counter will only accept the original paper ride voucher for the refund,2.75,1.5,2,True,0.4887588980082053,False
125,125,pdp,the shuttle counter insists on the original paper ride voucher for the refund,0.375,3.25,2,True,0.4887588980082053,False
125,125,context_link,The office's need for a scan and the refund office's requirement for the original voucher must be considered together.,,3.25,2,True,0.4887588980082053,False
125,125,joint,PDP + CKL,,3.625,2,True,0.4887588980082053,False
131,131,original,The camp office is nearby.,0.875,1.375,2,True,0.39526762455815906,False
131,131,common_control,The camp office is conveniently located nearby.,1.0,1.625,2,True,0.39526762455815906,False
131,131,prior_low,The office is right next to the campground.,-2.0,1.125,2,True,0.39526762455815906,False
131,131,prior_mid,The camp office is within walking distance.,2.0,0.75,2,True,0.39526762455815906,False
131,131,prior_high,You can easily walk to the camp office from here.,4.75,0.0,1,False,0.39526762455815906,False
131,131,pdp,The office is right next to the campground.,-2.0,1.125,2,True,0.39526762455815906,False
131,131,context_link,The proximity of the camp office to the campground gate is relevant to the decision of whether to walk or drive the UTV to the gate.,,1.0,2,True,0.39526762455815906,False
131,131,joint,PDP + CKL,,0.875,2,True,0.39526762455815906,False
132,132,original,The band-room tag is printed.,-3.75,5.375,2,True,0.25899853874637174,False
132,132,common_control,The band-room tag has been printed out.,-3.75,5.5,2,True,0.25899853874637174,False
132,132,prior_low,The printed band-room tag is attached to the case.,-5.25,4.25,2,True,0.25899853874637174,False
132,132,prior_mid,The band-room tag is now printed.,-3.75,5.375,2,True,0.25899853874637174,False
132,132,prior_high,The printed band-room tag is ready.,-2.625,5.625,2,True,0.25899853874637174,False
132,132,pdp,The printed band-room tag is attached to the case.,-5.25,4.25,2,True,0.25899853874637174,False
132,132,context_link,This indicates that the tag is available to be attached to the saxophone case.,,5.75,2,True,0.25899853874637174,False
132,132,joint,PDP + CKL,,5.625,2,True,0.25899853874637174,False
156,156,original,The tire pallet is ready.,-1.625,3.75,2,True,0.5789349630226577,True
156,156,common_control,The tire pallet is ready to go.,-1.625,3.75,2,True,0.5789349630226577,True
156,156,prior_low,The tire pallet is now ready for transport.,-3.75,3.375,2,True,0.5789349630226577,True
156,156,prior_mid,The tire pallet is ready to be loaded.,-2.125,3.375,2,True,0.5789349630226577,True
156,156,prior_high,The tire pallet is prepared.,-1.375,3.5,2,True,0.5789349630226577,True
156,156,pdp,The tire pallet is now ready for transport.,-3.75,3.375,2,True,0.5789349630226577,True
156,156,context_link,The readiness of the tire pallet implies that the forklift driver can now load it into the truck.,,4.0,2,True,0.5789349630226577,True
156,156,joint,PDP + CKL,,4.125,2,True,0.5789349630226577,True
166,166,original,The camera director is calling live shots.,0.375,3.5,2,True,0.5360155380823567,True
166,166,common_control,The camera director is currently doing live coverage.,0.375,3.625,2,True,0.5360155380823567,True
166,166,prior_low,The camera director is in the process of broadcasting live.,-0.0,4.125,2,True,0.5360155380823567,True
166,166,prior_mid,The camera director is in the midst of a live shot.,0.75,3.25,2,True,0.5360155380823567,True
166,166,prior_high,The camera director is live right now.,1.25,4.0,2,True,0.5360155380823567,True
166,166,pdp,The camera director is in the process of broadcasting live.,-0.0,4.125,2,True,0.5360155380823567,True
166,166,context_link,This indicates that the camera director should be interrupted minimally.,,3.25,2,True,0.5360155380823567,True
166,166,joint,PDP + CKL,,3.25,2,True,0.5360155380823567,True
170,170,original,while the store rebate requires the original dated receipt.,5.125,-4.25,2,False,0.7162338678432884,True
170,170,common_control,the store rebate stipulates that the original dated receipt is necessary,5.125,-4.875,2,False,0.7162338678432884,True
170,170,prior_low,the original dated receipt is a prerequisite for the rebate,3.75,-5.75,2,False,0.7162338678432884,True
170,170,prior_mid,the rebate needs the original dated receipt,4.875,-5.5,2,False,0.7162338678432884,True
170,170,prior_high,as the store rebate demands the original dated receipt,5.875,-4.25,2,False,0.7162338678432884,True
170,170,pdp,the original dated receipt is a prerequisite for the rebate,3.75,-5.75,2,False,0.7162338678432884,True
170,170,context_link,The rebate requirement aligns with the documentation purpose.,,-3.75,2,False,0.7162338678432884,True
170,170,joint,PDP + CKL,,-5.5,2,False,0.7162338678432884,True
175,175,original,The hiking-pack fitting form is complete.,-1.75,5.875,2,True,0.09250155672798542,False
175,175,common_control,The pack fitting form is complete.,-1.875,5.625,2,True,0.09250155672798542,False
175,175,prior_low,The pack fitting form is finished and ready.,-2.625,5.375,2,True,0.09250155672798542,False
175,175,prior_mid,The form is now complete.,-0.875,4.25,2,True,0.09250155672798542,False
175,175,prior_high,The fitting form has been completed.,-0.625,4.625,2,True,0.09250155672798542,False
175,175,pdp,The pack fitting form is finished and ready.,-2.625,5.375,2,True,0.09250155672798542,False
175,175,context_link,"The outfitter is at the mirror to adjust the frame stays while the pack is loaded, meaning the frame stays are already loaded into the pack.",,5.5,2,True,0.09250155672798542,False
175,175,joint,PDP + CKL,,5.375,2,True,0.09250155672798542,False
177,177,original,while the store rebate requires the original dated receipt.,5.125,-3.25,2,False,0.7990227404516448,True
177,177,common_control,the store rebate only accepts original receipts,5.125,-4.0,2,False,0.7990227404516448,True
177,177,prior_low,"in order to receive the rebate, the original receipt must be preserved",3.25,-4.25,2,False,0.7990227404516448,True
177,177,prior_mid,"in order to qualify for the store rebate, the original dated receipt is required",4.875,-5.25,2,False,0.7990227404516448,True
177,177,prior_high,the original receipt is necessary to claim the store rebate,5.5,-5.5,2,False,0.7990227404516448,True
177,177,pdp,"in order to receive the rebate, the original receipt must be preserved",3.25,-4.25,2,False,0.7990227404516448,True
177,177,context_link,"The rebate requirement specifies that the original receipt must be retained, which is relevant to the documentation process with the event-equipment clerk.",,-3.375,2,False,0.7990227404516448,True
177,177,joint,PDP + CKL,,-3.875,2,False,0.7990227404516448,True
193,193,original,The tech is at the service mat to watch the joystick display while the chair boots.,-4.375,3.0,2,True,0.42837765472540407,False
193,193,common_control,"The tech has moved to the service mat, watching the joystick display as the chair is booting.",-4.25,3.125,2,True,0.42837765472540407,False
193,193,prior_low,"The tech has arrived at the service mat, watching the joystick display as the wheelchair boots.",-6.875,3.875,2,True,0.42837765472540407,False
193,193,prior_mid,"The tech is at the service mat, observing the joystick display as the powered wheelchair is booting.",-4.25,3.25,2,True,0.42837765472540407,False
193,193,prior_high,The tech is located at the service mat to watch the joystick display during the wheelchair's startup process.,-3.875,4.0,2,True,0.42837765472540407,False
193,193,pdp,"The tech has arrived at the service mat, watching the joystick display as the wheelchair boots.",-6.875,3.875,2,True,0.42837765472540407,False
193,193,context_link,The tech's presence at the service mat is relevant because the powered wheelchair startup case is active.,,2.75,2,True,0.42837765472540407,False
193,193,joint,PDP + CKL,,3.375,2,True,0.42837765472540407,False
195,195,original,The inventory sticker must be on the box lid before the librarian scans it.,-0.875,1.375,1,True,0.30897774859258836,False
195,195,common_control,The sticker needs to be on the box lid for the librarian to scan it.,-0.625,1.0,1,True,0.30897774859258836,False
195,195,prior_low,"For the scan to be successful, the sticker should be on the box.",-3.375,2.125,1,True,0.30897774859258836,False
195,195,prior_mid,The sticker must be present on the box before scanning is initiated.,-1.75,0.75,1,True,0.30897774859258836,False
195,195,prior_high,The sticker needs to be on the box lid before the librarian scans it.,-0.5,-0.125,2,False,0.30897774859258836,False
195,195,pdp,"For the scan to be successful, the sticker should be on the box.",-3.375,2.125,1,True,0.30897774859258836,False
195,195,context_link,"This information is relevant to the detected constraint that I am checking in a board game, as the sticker's placement affects the scanning process.",,2.375,1,True,0.30897774859258836,False
195,195,joint,PDP + CKL,,3.375,1,True,0.30897774859258836,False
201,201,original,The mechanic is at the dock aisle to watch the dashboard lights when the tug is keyed on.,-0.5,-2.375,2,False,0.7604339021662527,True
201,201,common_control,The mechanic is standing at the dock aisle to observe the dashboard lights when the tug is turned on.,-0.75,-2.375,2,False,0.7604339021662527,True
201,201,prior_low,"The mechanic is at the dock aisle, ready to see the dashboard lights when the tug is turned on.",-2.375,-1.0,2,False,0.7604339021662527,True
201,201,prior_mid,"When the tug is keyed on, the mechanic is positioned at the dock aisle to monitor the dashboard lights.",-1.25,-1.625,2,False,0.7604339021662527,True
201,201,prior_high,"As the tug is started, the mechanic is at the dock aisle to observe the dashboard lights.",-0.5,-2.125,2,False,0.7604339021662527,True
201,201,pdp,"The mechanic is at the dock aisle, ready to see the dashboard lights when the tug is turned on.",-2.375,-1.0,2,False,0.7604339021662527,True
201,201,context_link,This situation is relevant to the electric tug wake-up issue that has been logged.,,-2.625,2,False,0.7604339021662527,True
201,201,joint,PDP + CKL,,-1.5,2,False,0.7604339021662527,True
205,205,original,while the vehicle placard must remain active on the dash.,1.875,0.875,2,True,0.5798764624074549,True
205,205,common_control,the vehicle placard has to stay active on the dash,1.625,1.125,2,True,0.5798764624074549,True
205,205,prior_low,the vehicle placard has to stay on the dash,1.125,1.0,2,True,0.5798764624074549,True
205,205,prior_mid,the vehicle placard must stay visible on the dashboard,1.5,0.75,2,True,0.5798764624074549,True
205,205,prior_high,so the vehicle placard needs to stay on the dashboard,1.75,1.375,2,True,0.5798764624074549,True
205,205,pdp,the vehicle placard has to stay on the dash,1.125,1.0,2,True,0.5798764624074549,True
205,205,context_link,This means the vehicle placard's status should be preserved.,,1.125,2,True,0.5798764624074549,True
205,205,joint,PDP + CKL,,1.375,2,True,0.5798764624074549,True
211,211,original,My colleague is sitting in a courtroom where calls and speech are prohibited.,-2.625,3.875,2,True,0.3952242792911617,False
211,211,common_control,My colleague is in a courtroom where talking is strictly forbidden.,-1.5,3.5,2,True,0.3952242792911617,False
211,211,prior_low,My colleague is in a courtroom where talking is strictly forbidden.,-1.5,3.5,2,True,0.3952242792911617,False
211,211,prior_mid,My colleague is seated in a courtroom where speech is prohibited.,-1.0,3.5,2,True,0.3952242792911617,False
211,211,prior_high,There's a rule against talking in the courtroom where my colleague is.,-0.25,3.375,2,True,0.3952242792911617,False
211,211,pdp,My colleague is in a courtroom where talking is strictly forbidden.,-1.5,3.5,2,True,0.3952242792911617,False
211,211,context_link,The prohibition on calls and speech in the courtroom implies that sending a text message is the best way to communicate with my colleague.,,8.875,2,True,0.3952242792911617,False
211,211,joint,PDP + CKL,,8.25,2,True,0.3952242792911617,False
212,212,original,The yard worker signs the release only after the sheets are lying flat in my truck and strapped.,-0.125,0.625,1,True,0.47527585621834056,False
212,212,common_control,The yard worker only signs the release after the drywall sheets are properly loaded and tied down in the truck.,-1.0,1.25,1,True,0.47527585621834056,False
212,212,prior_low,The yard worker signs the release after the drywall sheets are flat and securely fastened in the truck.,-2.0,0.875,1,True,0.47527585621834056,False
